                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                       1                                     1179                  2.0000000000000000E+001                  4.8469999999999997E-003                  5.5901699437494777E+001                  5.5901699437494777E+001                  3.8068676501916103E+004                  4.5969723698193091E+004                  4.9358190113905946E+000                 -5.8367221913758005E+000                  7.3870565844985536E-001                  4.1786772425572000E-008                  2.5638357604571355E-001                  1.8262529641111495E-005                  7.4504226791968363E-004                  2.5042346384834967E-003                  4.0755231361744066E-004                  1.9999999084888113E+001                 -1.6370019079882105E-008                  1.4777740997987324E+001                  8.0907301655444814E-007                  5.1246307210495905E+000                  4.7372716660756152E-003                  8.8148537011840441E-003                  5.1210747282341477E-002                  8.1510458993928545E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999999080988413E+001                  4.9190990038478253E+000                  1.9999999038286841E+001                  4.8933066538928145E+000                  2.4550335034937867E+004                  4.1381704076593967E+004                  4.3506894268486202E+006                  5.6634632300982281E+004                  5.6634632300982266E+004                  4.8784996816539462E-026                  3.9679849567447031E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  4.9358190113905946E+000                  5.9640941351496385E-036                 -3.5224455510414643E+001                  1.9999999084888113E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       2                  4.9352458325009145E+000                  6.5707800422303280E-036                 -3.5182383070633932E+001                  1.9999999084849051E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       3                  4.9347254577257722E+000                  7.0058186288949298E-036                 -3.5154541110165582E+001                  1.9999999084809989E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       4                  4.9344813884501244E+000                  7.2868413967111727E-036                 -3.5137460683100805E+001                  1.9999999084790456E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       5                  4.9342467086010888E+000                  7.4937460171859452E-036                 -3.5125301030378040E+001                  1.9999999084770923E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       6                  4.9341326002158103E+000                  7.6297367075975205E-036                 -3.5117490448730628E+001                  1.9999999084761161E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       7                  4.9340205204157144E+000                  7.8310200096674671E-036                 -3.5106181666330443E+001                  1.9999999084751394E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       8                  4.9338021074955307E+000                  8.0952418368230447E-036                 -3.5091770172626610E+001                  1.9999999084731861E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                       9                  4.9335908045605104E+000                  8.3547885885111666E-036                 -3.5078064535118841E+001                  1.9999999084712332E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      10                  4.9333860482196075E+000                  8.7351818745422409E-036                 -3.5058728048175290E+001                  1.9999999084692799E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      11                  4.9329943202416109E+000                  9.1094083100630566E-036                 -3.5040509831152129E+001                  1.9999999084653737E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      12                  4.9328064800297575E+000                  9.3539004547782792E-036                 -3.5029007256211834E+001                  1.9999999084634208E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      13                  4.9326235355166217E+000                  9.7138846885565156E-036                 -3.5012607056249109E+001                  1.9999999084614675E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      14                  4.9322711667530088E+000                  1.0070124112302129E-035                 -3.4996965176819188E+001                  1.9999999084575613E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      15                  4.9321011966352799E+000                  1.0303731645350401E-035                 -3.4987005460782122E+001                  1.9999999084556080E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      16                  4.9319350685207928E+000                  1.0648765157679997E-035                 -3.4972700750563128E+001                  1.9999999084536551E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      17                  4.9316135452907508E+000                  1.1103512249003682E-035                 -3.4954539623998251E+001                  1.9999999084497489E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      18                  4.9313051498230616E+000                  1.1551294745730221E-035                 -3.4937369334437484E+001                  1.9999999084458427E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      19                  4.9310086720039896E+000                  1.1993190832343618E-035                 -3.4921065255890326E+001                  1.9999999084419365E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      20                  4.9307230835841844E+000                  1.2322294854660393E-035                 -3.4909308403380628E+001                  1.9999999084380303E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      21                  4.9305840908746568E+000                  1.2539465940244630E-035                 -3.4901720959848511E+001                  1.9999999084360770E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      22                  4.9304474975658126E+000                  1.2862061309221744E-035                 -3.4890689424609164E+001                  1.9999999084341237E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      23                  4.9301811404995091E+000                  1.3290439316913323E-035                 -3.4876460663168785E+001                  1.9999999084302175E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      24                  4.9299233406037626E+000                  1.3715449812913243E-035                 -3.4862789944671718E+001                  1.9999999084263113E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      25                  4.9296735029941958E+000                  1.4137406159333011E-035                 -3.4849630264798165E+001                  1.9999999084224051E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      26                  4.9294310974464199E+000                  1.4761065282806799E-035                 -3.4830882299033973E+001                  1.9999999084184989E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      27                  4.9289667015380516E+000                  1.5387573038673400E-035                 -3.4812829872633003E+001                  1.9999999084106861E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      28                  4.9287439257377770E+000                  1.5799739535544235E-035                 -3.4801350072489136E+001                  1.9999999084067799E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      29                  4.9285269416263846E+000                  1.6410826712499960E-035                 -3.4784869540358649E+001                  1.9999999084028737E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      30                  4.9281090778179335E+000                  1.7224258915652112E-035                 -3.4763859454805917E+001                  1.9999999083950613E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      31                  4.9277108804027705E+000                  1.7832799151822900E-035                 -3.4748780481795080E+001                  1.9999999083872488E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      32                  4.9275185522473457E+000                  1.8234292262580643E-035                 -3.4739111088529015E+001                  1.9999999083833426E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      33                  4.9273304439795984E+000                  1.8830743961846242E-035                 -3.4725132521611478E+001                  1.9999999083794364E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      34                  4.9269661019303053E+000                  1.9429503852883726E-035                 -3.4711538289297586E+001                  1.9999999083716236E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      35                  4.9267895249751072E+000                  1.9825032537437968E-035                 -3.4702786091232639E+001                  1.9999999083677174E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      36                  4.9266164582888363E+000                  2.0413051361997080E-035                 -3.4690092071686308E+001                  1.9999999083638112E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      37                  4.9262802599456172E+000                  2.1195802852699726E-035                 -3.4673750128617172E+001                  1.9999999083559988E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      38                  4.9259564326809482E+000                  2.1973566394212915E-035                 -3.4658099449696387E+001                  1.9999999083481860E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      39                  4.9256440259479826E+000                  2.2746679488450241E-035                 -3.4643081991758244E+001                  1.9999999083403736E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      40                  4.9253421985864723E+000                  2.3515380903576369E-035                 -3.4628647982132378E+001                  1.9999999083325612E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      41                  4.9250502015476556E+000                  2.4279988709668523E-035                 -3.4614751519546111E+001                  1.9999999083247488E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      42                  4.9247673659096565E+000                  2.5040547895623746E-035                 -3.4601356172848071E+001                  1.9999999083169364E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      43                  4.9244930889415439E+000                  2.5797010470828744E-035                 -3.4588430620054190E+001                  1.9999999083091236E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      44                  4.9242268246940819E+000                  2.6917769154618104E-035                 -3.4569960935680797E+001                  1.9999999083013112E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      45                  4.9237163858662507E+000                  2.8043429865574715E-035                 -3.4552168870855247E+001                  1.9999999082856860E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      46                  4.9234713722184251E+000                  2.8784846710779951E-035                 -3.4540836078970337E+001                  1.9999999082778736E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      47                  4.9232326452680182E+000                  2.9884693667188561E-035                 -3.4524551191539565E+001                  1.9999999082700612E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      48                  4.9227726958401137E+000                  3.0987687001036319E-035                 -3.4508810839384324E+001                  1.9999999082544363E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      49                  4.9225508753074818E+000                  3.1715150233544188E-035                 -3.4498733227024054E+001                  1.9999999082466235E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      50                  4.9223341228475777E+000                  3.2795618721436112E-035                 -3.4484184171294316E+001                  1.9999999082388111E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      51                  4.9219148440859621E+000                  3.3878339060100770E-035                 -3.4470077889802809E+001                  1.9999999082231863E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      52                  4.9217118781115712E+000                  3.4593328530105018E-035                 -3.4461007648661841E+001                  1.9999999082153739E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      53                  4.9215130903762345E+000                  3.5656470997909076E-035                 -3.4447861642147089E+001                  1.9999999082075615E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      54                  4.9211273218161020E+000                  3.7069881581952226E-035                 -3.4430978801302153E+001                  1.9999999081919363E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      55                  4.9207562030047010E+000                  3.8473021315398589E-035                 -3.4414843706880532E+001                  1.9999999081763114E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      56                  4.9203985644598820E+000                  3.9865831001796362E-035                 -3.4399399178623597E+001                  1.9999999081606862E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      57                  4.9200533699350641E+000                  4.1248717135226620E-035                 -3.4384589553774795E+001                  1.9999999081450614E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      58                  4.9197197006583853E+000                  4.2622198945720183E-035                 -3.4370364148114135E+001                  1.9999999081294366E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      59                  4.9193967391574818E+000                  4.3986128653128698E-035                 -3.4356684259859229E+001                  1.9999999081138114E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      60                  4.9190837502544698E+000                  4.5340964373644519E-035                 -3.4343509246942226E+001                  1.9999999080981862E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      61                  4.9187800744020596E+000                  4.6687100371272524E-035                 -3.4330803098265825E+001                  1.9999999080825614E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      62                  4.9184851173296646E+000                  4.8024695517149619E-035                 -3.4318535379941352E+001                  1.9999999080669365E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      63                  4.9181983403593046E+000                  5.0005443278029444E-035                 -3.4300982718525127E+001                  1.9999999080513113E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      64                  4.9176474080842647E+000                  5.1987585386742850E-035                 -3.4284100353321676E+001                  1.9999999080200613E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      65                  4.9173823991609940E+000                  5.3293032897681576E-035                 -3.4273329563428696E+001                  1.9999999080044365E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      66                  4.9171238532801960E+000                  5.5229180457413862E-035                 -3.4257831401198978E+001                  1.9999999079888113E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      67                  4.9166248093041816E+000                  5.7165869451783150E-035                 -3.4242863186815022E+001                  1.9999999079575613E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      68                  4.9163837030965674E+000                  5.8443221875872310E-035                 -3.4233265850158290E+001                  1.9999999079419364E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
                                      69                  4.9161478428471304E+000                  6.0339644724615970E-035                 -3.4219397251247422E+001                  1.9999999079263112E+001                  7.3909997940063477E-001                  2.5605351762337220E-001                  4.8465029759929834E-003 
