                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     400                                     1190                  2.0000000000000000E+001                  4.8469999999999997E-003                  9.6958805660784543E+006                  3.9397047349675250E+002                  2.5139659606581929E+004                  1.2813978532353387E+005                  1.8896529355232055E+001                 -4.7781301791433792E+000                  0.0000000000000000E+000                  1.0000000099858708E-099                  9.9540587151153603E-001                  8.0443890494420270E-005                  2.8161932756243977E-003                  5.4293859773227998E-005                  4.0756549457283411E-004                  1.9702832906554292E+001                 -4.4425016977789901E-008                  7.8965207547586873E+000                  5.4684456465567290E-005                  1.1713319839037581E+001                  4.0452941913278829E-003                  3.2802805007472645E-002                  2.3714142223097260E-002                  8.0299366801806146E-003                  6.7650053462542683E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9702832817911172E+001                  1.8703455100587728E+001                  1.9702831895754422E+001                  1.8311345865039272E+001                  1.8528587130559579E+005                  3.7633174038690408E+003                  1.5376046445534127E+006                  1.2397670903891874E+005                  1.2397666911810487E+005                  1.2058816991822419E-002                  8.4356325895330174E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.8896529355232055E+001                  9.9249369311748487E-037                 -3.6003272244315951E+001                  1.9702832906554292E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       2                  1.8896470100378302E+001                  9.9345378335270041E-037                 -3.6002852331978183E+001                  1.9702832906544440E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       3                  1.8896410902417120E+001                  9.9484871652709422E-037                 -3.6002242956010804E+001                  1.9702832906534592E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       4                  1.8896298213502988E+001                  9.9763407190139958E-037                 -3.6001028726945229E+001                  1.9702832906515813E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       5                  1.8896067934123089E+001                  1.0013714891584113E-036                 -3.5999404777903599E+001                  1.9702832906477330E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       6                  1.8895838508614876E+001                  1.0069634233943148E-036                 -3.5996986304328715E+001                  1.9702832906438847E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       7                  1.8895382189104669E+001                  1.0199572764816425E-036                 -3.5991418019391872E+001                  1.9702832906361884E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       8                  1.8894255829002834E+001                  1.0438622255003700E-036                 -3.5981356818051580E+001                  1.9702832906169473E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                       9                  1.8892494653520814E+001                  1.0836974225422568E-036                 -3.5965091959553725E+001                  1.9702832905861616E+001                  7.3909997832268803E-001                  2.5605351870131876E-001                  4.8465029759932055E-003 
                                      10                  1.8889525142581480E+001                  1.1263700652123110E-036                 -3.5948318900004040E+001                  1.9702832905322865E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      11                  1.8887483877456450E+001                  1.1612559986170036E-036                 -3.5935072029588582E+001                  1.9702832904938045E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      12                  1.8885503512094477E+001                  1.2090836886571990E-036                 -3.5917543637713145E+001                  1.9702832904553226E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      13                  1.8882078878283647E+001                  1.2560226440739323E-036                 -3.5901002530895227E+001                  1.9702832903860546E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      14                  1.8880246893658914E+001                  1.2856341957836644E-036                 -3.5890882584562505E+001                  1.9702832903475727E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      15                  1.8878814813949393E+001                  1.3180340937750554E-036                 -3.5880073355639681E+001                  1.9702832903167870E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      16                  1.8876719106577834E+001                  1.3688388645638118E-036                 -3.5863647672647261E+001                  1.9702832902706085E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      17                  1.8873354922643575E+001                  1.4247687027958652E-036                 -3.5846255633376600E+001                  1.9702832901936443E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      18                  1.8870768407344315E+001                  1.4613207944567544E-036                 -3.5835254435695177E+001                  1.9702832901320729E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      19                  1.8869507240072828E+001                  1.4971298695565423E-036                 -3.5824740524850398E+001                  1.9702832901012872E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      20                  1.8867044748491757E+001                  1.5440675535448229E-036                 -3.5811333703035274E+001                  1.9702832900397159E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      21                  1.8864656497620846E+001                  1.6012405435490710E-036                 -3.5795543422053861E+001                  1.9702832899781445E+001                  7.3909997832268814E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      22                  1.8861200957957220E+001                  1.6571827840759386E-036                 -3.5780629587092093E+001                  1.9702832898857874E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      23                  1.8858974358847760E+001                  1.6900561610676484E-036                 -3.5772098863412047E+001                  1.9702832898242161E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      24                  1.8857882521448452E+001                  1.7222941975860872E-036                 -3.5763892661549562E+001                  1.9702832897934304E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
                                      25                  1.8855739352084353E+001                  1.7749410830465219E-036                 -3.5750816058232800E+001                  1.9702832897318590E+001                  7.3909997832268803E-001                  2.5605351870131871E-001                  4.8465029759932055E-003 
