                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     561                                     1538                  2.0000000000000000E+001                  4.8469999999999997E-003                  9.7101761110223122E+006                  8.3646044899332685E+002                  3.4783786678434076E+003                  1.9347488754897768E+005                  1.2128788416056136E+003                 -4.0871883711161914E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8341409736932894E-001                  1.0850352230516846E-002                  1.2252095677590536E-005                  7.4465158859103226E-005                  4.4132011714011054E-003                  1.9602736540746477E+001                 -1.8138104729699927E-005                  7.8082463638084478E+000                  5.4269956130921343E-005                  1.1654580131690381E+001                  4.6579372158587935E-002                  2.1671713009804180E-002                  2.3556443236594338E-002                  2.3826478932002713E-002                  7.0551274874011849E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9480878507617032E+001                  1.2009998018333288E+003                  1.9466488796591825E+001                  1.1996258112625669E+003                  9.5521547555312827E+007                  3.8438897453039438E+001                  1.0131928122084627E+006                  1.9058486621820304E+005                  1.1439913424409415E+005                  7.3257826893879246E+004                  7.7936023241155999E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.2128788416056136E+003                  8.5142381004991885E-036                 -3.5069854208952506E+001                  1.9602736540746477E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       2                  1.2128788416041227E+003                  8.5142382185759343E-036                 -3.5069854202929648E+001                  1.9602736540736675E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       3                  1.2128788415997706E+003                  8.5142086488598113E-036                 -3.5069855711225102E+001                  1.9602736540708193E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       4                  1.2128788415880931E+003                  8.5142391300735233E-036                 -3.5069854156435952E+001                  1.9602736540631618E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       5                  1.2128788415471920E+003                  8.5142368395133610E-036                 -3.5069854273272909E+001                  1.9602736540363612E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       6                  1.2128788414186629E+003                  8.5142436397979135E-036                 -3.5069853926403901E+001                  1.9602736539521306E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       7                  1.2128788410739678E+003                  8.5142420929899595E-036                 -3.5069854005303476E+001                  1.9602736537262395E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       8                  1.2128788399610105E+003                  8.5142432886209554E-036                 -3.5069853944316733E+001                  1.9602736529968801E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                       9                  1.2128788366524052E+003                  8.5142486378063515E-036                 -3.5069853671465594E+001                  1.9602736508286430E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                      10                  1.2128788322228968E+003                  8.5142384674085622E-036                 -3.5069854190237187E+001                  1.9602736479258343E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
                                      11                  1.2128788228391975E+003                  8.5142614656644118E-036                 -3.5069853017143174E+001                  1.9602736417763865E+001                  6.9981837457724438E-001                  2.9536423753358493E-001                  4.8173878891706323E-003 
