                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     600                                     1668                  2.0000000000000000E+001                  4.8469999999999997E-003                  9.7661468172943573E+006                  1.5169204355546956E+003                  3.4986574970912206E+003                  1.7470301020038346E+005                  1.1392162530276280E+003                 -4.1513150481684615E+000                  0.0000000000000000E+000                  1.0757480342615775E-099                  8.7986817293489050E-001                  1.1214423743344140E-001                  9.3487597369621452E-007                  2.3215938254156892E-003                  4.4294288249602460E-003                  1.8678162973487321E+001                 -1.5075855226392717E-005                  7.1056988771232792E+000                  4.9584028905710594E-005                  1.0953849205901601E+001                  5.1834397563792955E-001                  1.9176496255181155E-002                  3.1879220047919349E-002                  2.6086278588444822E-002                  7.5824861160267627E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8574805820074761E+001                  1.1280196119096572E+003                  1.8563022637333994E+001                  1.1267600855966027E+003                  8.9079085490802124E+007                  4.1147295873411657E+001                  1.0691380161145227E+006                  1.7446499780830630E+005                  8.3976727457131376E+004                  8.7583745087527612E+004                  5.7269330802197564E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.1392162530276280E+003                  8.6331099280642308E-036                 -3.5063832729047398E+001                  1.8678162973487321E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       2                  1.1392162530260334E+003                  8.6331099667747494E-036                 -3.5063832727100042E+001                  1.8678162973477981E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       3                  1.1392162530214034E+003                  8.6331102950163968E-036                 -3.5063832710587619E+001                  1.8678162973450842E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       4                  1.1392162530089620E+003                  8.6331125395400099E-036                 -3.5063832597675351E+001                  1.8678162973377880E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       5                  1.1392162529654129E+003                  8.6331120423250109E-036                 -3.5063832622688082E+001                  1.8678162973122515E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       6                  1.1392162528285492E+003                  8.6331179129897717E-036                 -3.5063832327360458E+001                  1.8678162972319935E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       7                  1.1392162524614987E+003                  8.6331130700786277E-036                 -3.5063832570986250E+001                  1.8678162970167573E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       8                  1.1392162512763655E+003                  8.6331237050540777E-036                 -3.5063832035987083E+001                  1.8678162963217982E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       9                  1.1392162495147825E+003                  8.6331350957324730E-036                 -3.5063831462972530E+001                  1.8678162952888126E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      10                  1.1392162477532072E+003                  8.6331401160268201E-036                 -3.5063831210424013E+001                  1.8678162942558270E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      11                  1.1392162453948322E+003                  8.6331309436866347E-036                 -3.5063831671843474E+001                  1.8678162928728792E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      12                  1.1392162430364569E+003                  8.6331451204032070E-036                 -3.5063830958676398E+001                  1.8678162914899307E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      13                  1.1392162380403695E+003                  8.6331555522521232E-036                 -3.5063830433897579E+001                  1.8678162885602283E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      14                  1.1392162330442741E+003                  8.6331414354448449E-036                 -3.5063831144050027E+001                  1.8678162856305253E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      15                  1.1392162232699741E+003                  8.6331507584845013E-036                 -3.5063830675050120E+001                  1.8678162798988836E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      16                  1.1392162134956743E+003                  8.6331662752485601E-036                 -3.5063829894473116E+001                  1.8678162741672416E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      17                  1.1392161930702091E+003                  8.6331940299997145E-036                 -3.5063828498262794E+001                  1.8678162621897428E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      18                  1.1392161726448089E+003                  8.6332084408544338E-036                 -3.5063827773322586E+001                  1.8678162502122440E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      19                  1.1392161389168925E+003                  8.6332531128640101E-036                 -3.5063825526098142E+001                  1.8678162304340855E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      20                  1.1392161051891474E+003                  8.6332973137270078E-036                 -3.5063823302586158E+001                  1.8678162106559270E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      21                  1.1392160481171027E+003                  8.6333459787407719E-036                 -3.5063820854519491E+001                  1.8678161771883591E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      22                  1.1392159910453765E+003                  8.6334224514201533E-036                 -3.5063817007631428E+001                  1.8678161437207915E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      23                  1.1392158743221300E+003                  8.6335197395100185E-036                 -3.5063812113692464E+001                  1.8678160752722409E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      24                  1.1392157576001744E+003                  8.6336887889436612E-036                 -3.5063803610032352E+001                  1.8678160068236902E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      25                  1.1392155255940077E+003                  8.6340216594872154E-036                 -3.5063786866198164E+001                  1.8678158707670949E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      26                  1.1392150460032458E+003                  8.6345693673802073E-036                 -3.5063759317162422E+001                  1.8678155895074930E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      27                  1.1392143506730886E+003                  8.6353109596392096E-036                 -3.5063722018765446E+001                  1.8678151817004576E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      28                  1.1392133937518206E+003                  8.6363415718089530E-036                 -3.5063670189425082E+001                  1.8678146204243912E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      29                  1.1392121545800542E+003                  8.6379961804700840E-036                 -3.5063586992323842E+001                  1.8678138935107611E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      30                  1.1392098738728178E+003                  8.6407154333561944E-036                 -3.5063450297348027E+001                  1.8678125553672466E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      31                  1.1392062461399223E+003                  8.6439464302791785E-036                 -3.5063287933263368E+001                  1.8678104262337666E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      32                  1.1392029279351918E+003                  8.6482897298416634E-036                 -3.5063069769336458E+001                  1.8678084780475359E+001                  6.9971298767312107E-001                  2.9546970540868811E-001                  4.8173069181908224E-003 
                                      33                  1.1391969019601067E+003                  8.6568443490585623E-036                 -3.5062640391071440E+001                  1.8678049383250791E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      34                  1.1391844360363011E+003                  8.6741490809604370E-036                 -3.5061773117985950E+001                  1.8677976085837770E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      35                  1.1391597063060553E+003                  8.7013783609717963E-036                 -3.5060411946559633E+001                  1.8677830393539757E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      36                  1.1391258910920103E+003                  8.7434270588041072E-036                 -3.5058318308669534E+001                  1.8677630560121894E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      37                  1.1390695021681536E+003                  8.8118972933354579E-036                 -3.5054930573391175E+001                  1.8677295742050926E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      38                  1.1389795862299909E+003                  8.9160331277485599E-036                 -3.5049828326556572E+001                  1.8676757740546087E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      39                  1.1388480345605481E+003                  9.0269161755706093E-036                 -3.5044460590403460E+001                  1.8675961470035258E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      40                  1.1387446737914177E+003                  9.1893348419888145E-036                 -3.5036715923315569E+001                  1.8675328187090123E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      41                  1.1385080094883492E+003                  9.5569582742545710E-036                 -3.5019680310119789E+001                  1.8673852516997346E+001                  6.9971298767312129E-001                  2.9546970540868800E-001                  4.8173069181907113E-003 
                                      42                  1.1379877403212886E+003                  9.9244612208899882E-036                 -3.5003293060901946E+001                  1.8670480961643044E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      43                  1.1377485099766795E+003                  1.0213601416904752E-035                 -3.4990821094377132E+001                  1.8668872114701401E+001                  6.9971298767312129E-001                  2.9546970540868800E-001                  4.8173069181907113E-003 
                                      44                  1.1374028483077702E+003                  1.0585453962138999E-035                 -3.4975290512323411E+001                  1.8666481016044106E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      45                  1.1370003178703384E+003                  1.1029550739654638E-035                 -3.4957442177066838E+001                  1.8663597059134091E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      46                  1.1365142412619155E+003                  1.1461089253585658E-035                 -3.4940774105375482E+001                  1.8659971271563965E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      47                  1.1361323660765042E+003                  1.1783009024500785E-035                 -3.4928743789696334E+001                  1.8657013570889532E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      48                  1.1358643162705234E+003                  1.2048707394281400E-035                 -3.4919059542437012E+001                  1.8654880382376756E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      49                  1.1355947129853050E+003                  1.2256783815178548E-035                 -3.4911623473909067E+001                  1.8652687492398559E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      50                  1.1354390107991931E+003                  1.2447453910009534E-035                 -3.4904919473139714E+001                  1.8651399660413475E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      51                  1.1352045852184360E+003                  1.2623625109780649E-035                 -3.4898815911407397E+001                  1.8649431213325261E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
