                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      50                                     1014                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0252372533421970E+006                  9.6163328573697494E+004                  3.6234920913017588E+004                  4.5249016679153356E+004                  5.4051627341718111E+000                 -5.9909362171058644E+000                  6.9677061797983386E-001                  5.1768961629694903E-008                  2.9858889914745518E-001                  3.4935874363639634E-005                  2.5981860951870702E-003                  3.6412485245302729E-004                  4.0755231361745898E-004                  1.9985773643527708E+001                 -1.4576005536852669E-008                  1.4309483621187768E+001                  1.8210634419722353E-005                  5.5815839868033548E+000                  4.3165703994406885E-003                  2.9867407908594493E-002                  2.7663537485745314E-002                  8.1452482878543852E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9985773638960506E+001                  5.3864906774643373E+000                  1.9985773589133114E+001                  5.3570780575742347E+000                  2.8144027737464312E+004                  3.8335713255519579E+004                  4.4168415382903423E+006                  4.5319125708360407E+004                  4.5319125708360392E+004                  2.2187079706710112E-027                  3.1058846746349182E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  5.4051627341718111E+000                  5.3099758300319117E-036                 -3.5274907455737292E+001                  1.9985773643527708E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       2                  5.4050254147320835E+000                  5.4297736284141631E-036                 -3.5265218276116471E+001                  1.9985773643517714E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       3                  5.4048911180914248E+000                  5.6012223680627133E-036                 -3.5251717185534147E+001                  1.9985773643507724E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       4                  5.4046429332062891E+000                  5.9350569309192547E-036                 -3.5226575110801129E+001                  1.9985773643488674E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       5                  5.4041628978297158E+000                  6.2602979370069811E-036                 -3.5203404997569272E+001                  1.9985773643449640E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       6                  5.4039353193311648E+000                  6.4710946555478764E-036                 -3.5189022247514913E+001                  1.9985773643430122E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       7                  5.4037151355927433E+000                  6.6774138306650962E-036                 -3.5175391707665717E+001                  1.9985773643410603E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       8                  5.4035017376158843E+000                  6.8795383259305965E-036                 -3.5162440705547674E+001                  1.9985773643391084E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                       9                  5.4032945929191811E+000                  7.0776327889930694E-036                 -3.5150111973748665E+001                  1.9985773643371569E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      10                  5.4030932304074240E+000                  7.2720540294704959E-036                 -3.5138342903079028E+001                  1.9985773643352051E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      11                  5.4028972366835806E+000                  7.5567260585252878E-036                 -3.5121666321255454E+001                  1.9985773643332536E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      12                  5.4025199750579382E+000                  7.8352016508234005E-036                 -3.5105949821822968E+001                  1.9985773643293498E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      13                  5.4023380292621788E+000                  8.0168926721239120E-036                 -3.5095993930574537E+001                  1.9985773643273983E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      14                  5.4021601949098699E+000                  8.2839417758800913E-036                 -3.5081762962229433E+001                  1.9985773643254465E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      15                  5.4018159579265257E+000                  8.5469775557679008E-036                 -3.5068187436490014E+001                  1.9985773643215431E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      16                  5.4016491203243007E+000                  8.7192500724403170E-036                 -3.5059520866375522E+001                  1.9985773643195913E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      17                  5.4014855688440644E+000                  8.9734247924323811E-036                 -3.5047041772721251E+001                  1.9985773643176394E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      18                  5.4011677022527751E+000                  9.3073197682098199E-036                 -3.5031175364932807E+001                  1.9985773643137360E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      19                  5.4008612027957659E+000                  9.6352521843717200E-036                 -3.5016136914028991E+001                  1.9985773643098327E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      20                  5.4005651012274623E+000                  9.9580100061239396E-036                 -3.5001827441667480E+001                  1.9985773643059293E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      21                  5.4002785653227345E+000                  1.0197743148276399E-035                 -3.4991495930855599E+001                  1.9985773643020259E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      22                  5.4001386541033733E+000                  1.0355788034796982E-035                 -3.4984816847408666E+001                  1.9985773643000737E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      23                  5.4000008709086469E+000                  1.0590244787707394E-035                 -3.4975094001297428E+001                  1.9985773642981222E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
                                      24                  5.3997313845230588E+000                  1.0900695247827377E-035                 -3.4962545801814805E+001                  1.9985773642942188E+001                  7.3909997940060890E-001                  2.5605351762339801E-001                  4.8465029759930944E-003 
