                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     750                                     1771                  2.0000000000000000E+001                  4.8469999999999997E-003                  9.9612263995945621E+006                  9.6638324600697149E+002                  3.5371863472205096E+003                  1.4746564642272430E+005                  1.0239727180520076E+003                 -4.1756728334833824E+000                  0.0000000000000000E+000                  1.0141928101918469E-099                  5.1858433732251674E-001                  4.2070654975841665E-001                  1.1045104047764011E-007                  5.5042138859245679E-002                  4.4312279253797254E-003                  1.6276306429525945E+001                 -1.0913789673778514E-005                  5.3253540451624666E+000                  3.7412077119964007E-005                  8.3208105005499853E+000                  2.2556986147997073E+000                  1.5346953449500465E-002                  3.1076426561734755E-001                  2.8183093427098550E-002                  8.1280736487974945E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6198928180198305E+001                  1.0135326906044144E+003                  1.6189983602103140E+001                  1.0123512312014341E+003                  8.1318286979578033E+007                  4.1182433848171819E+001                  1.1037354681827636E+006                  1.4796409844463720E+005                  2.8246600751528640E+004                  9.8019457241135853E+004                  1.9465504893051095E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.0239727180520076E+003                  8.5162424943151454E-036                 -3.5069751980812434E+001                  1.6276306429525945E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       2                  1.0239727180502650E+003                  8.5162424457494430E-036                 -3.5069751983289095E+001                  1.6276306429517806E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       3                  1.0239727180452047E+003                  8.5162494581032619E-036                 -3.5069751625687097E+001                  1.6276306429494156E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       4                  1.0239727180315991E+003                  8.5162502307784943E-036                 -3.5069751586283765E+001                  1.6276306429430576E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       5                  1.0239727179839864E+003                  8.5162525796005480E-036                 -3.5069751466503313E+001                  1.6276306429208052E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       6                  1.0239727178343350E+003                  8.5162529197349894E-036                 -3.5069751449157835E+001                  1.6276306428508676E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       7                  1.0239727174330075E+003                  8.5162540333958705E-036                 -3.5069751392365632E+001                  1.6276306426633088E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       8                  1.0239727161371903E+003                  8.5162588553150042E-036                 -3.5069751146467347E+001                  1.6276306420577157E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       9                  1.0239727129217791E+003                  8.5162631561307417E-036                 -3.5069750927143332E+001                  1.6276306405550073E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      10                  1.0239727056857013E+003                  8.5162616136023544E-036                 -3.5069751005805955E+001                  1.6276306371732591E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      11                  1.0239726935900972E+003                  8.5162732401178288E-036                 -3.5069750412901662E+001                  1.6276306315204351E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      12                  1.0239726690050375E+003                  8.5163238132331238E-036                 -3.5069747833890979E+001                  1.6276306200307051E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      13                  1.0239726228895402E+003                  8.5163601882040713E-036                 -3.5069745978933867E+001                  1.6276305984786873E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      14                  1.0239725436440053E+003                  8.5164903895080860E-036                 -3.5069739339327931E+001                  1.6276305614432314E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      15                  1.0239723989910811E+003                  8.5167096794287506E-036                 -3.5069728156883990E+001                  1.6276304938385707E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      16                  1.0239721133305914E+003                  8.5170525008609762E-036                 -3.5069710675665839E+001                  1.6276303603295528E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      17                  1.0239716604954693E+003                  8.5175902274923715E-036                 -3.5069683257220660E+001                  1.6276301486798339E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      18                  1.0239710181799949E+003                  8.5183381272189094E-036                 -3.5069645125019385E+001                  1.6276298484506366E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      19                  1.0239701149243061E+003                  8.5193629052049788E-036                 -3.5069592881418657E+001                  1.6276294262171028E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      20                  1.0239689143800975E+003                  8.5208916220307747E-036                 -3.5069514958488270E+001                  1.6276288649474999E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      21                  1.0239669901641035E+003                  8.5233985144634723E-036                 -3.5069387205493058E+001                  1.6276279651935216E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
