                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     850                                     1845                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0094725100552645E+007                  6.3141202091262915E+002                  3.5196766547893039E+003                  1.4806614706114741E+005                  1.0362897176087258E+003                 -4.1266887542397077E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8187078513302899E-001                  5.3847968431376692E-001                  3.8695848151076240E-012                  1.7398144218376180E-001                  4.4324189818301029E-003                  1.4823432370122475E+001                 -1.1074579325020892E-005                  4.2816864617536048E+000                  3.0051496206749176E-005                  6.4780212317689019E+000                  3.0163976619846982E+000                  1.3650158423690278E-002                  9.8675829358428480E-001                  2.8571994751886251E-002                  8.2505620223090261E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4739341219609596E+001                  1.0246428403715277E+003                  1.4729232500544997E+001                  1.0232663622497539E+003                  8.6752293819880769E+007                  3.3615542711531823E+001                  1.0011358210057827E+006                  1.4858264229590021E+005                  1.3833367331157438E+004                  8.0445941650068868E+004                  9.8236940658077788E+002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.0362897176087258E+003                  8.1308029942905791E-036                 -3.5089866561568492E+001                  1.4823432370122475E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                       2                  1.0362897176071058E+003                  8.1308007378264979E-036                 -3.5089866682094112E+001                  1.4823432370115064E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       3                  1.0362897176023932E+003                  8.1308012897313318E-036                 -3.5089866652614944E+001                  1.4823432370093524E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                       4                  1.0362897175897210E+003                  8.1308040131845409E-036                 -3.5089866507145828E+001                  1.4823432370035619E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       5                  1.0362897175453720E+003                  8.1307986557404488E-036                 -3.5089866793305617E+001                  1.4823432369832956E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       6                  1.0362897174059960E+003                  8.1308030776573926E-036                 -3.5089866557115585E+001                  1.4823432369196013E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       7                  1.0362897170322101E+003                  8.1308074218609508E-036                 -3.5089866325076621E+001                  1.4823432367487843E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       8                  1.0362897158253315E+003                  8.1308134614720376E-036                 -3.5089866002480271E+001                  1.4823432361972484E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       9                  1.0362897128306004E+003                  8.1308024947715300E-036                 -3.5089866588249549E+001                  1.4823432348286763E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      10                  1.0362897060911473E+003                  8.1308234706931051E-036                 -3.5089865467853961E+001                  1.4823432317487937E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      11                  1.0362896948257101E+003                  8.1308388837967938E-036                 -3.5089864644589312E+001                  1.4823432266005584E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      12                  1.0362896719280266E+003                  8.1308501573569955E-036                 -3.5089864042432303E+001                  1.4823432161364376E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      13                  1.0362896289774426E+003                  8.1309190795886263E-036                 -3.5089860361093031E+001                  1.4823431965082204E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      14                  1.0362895551708466E+003                  8.1310138310011007E-036                 -3.5089855300192113E+001                  1.4823431627786650E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      15                  1.0362894204455479E+003                  8.1311687694005753E-036                 -3.5089847024686470E+001                  1.4823431012086084E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      16                  1.0362891543883397E+003                  8.1314456011706721E-036                 -3.5089832239055156E+001                  1.4823429796170229E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      17                  1.0362887326261750E+003                  8.1318762927742825E-036                 -3.5089809236745033E+001                  1.4823427868598205E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      18                  1.0362881343795279E+003                  8.1324720657684352E-036                 -3.5089777419801834E+001                  1.4823425134300214E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      19                  1.0362872930834662E+003                  8.1332879583216050E-036                 -3.5089733851270950E+001                  1.4823421288863743E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      20                  1.0362861748694911E+003                  8.1344837867046621E-036                 -3.5089670002124656E+001                  1.4823416177174531E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      21                  1.0362843825536538E+003                  8.1364932939574152E-036                 -3.5089562729167255E+001                  1.4823407982783312E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      22                  1.0362813739446422E+003                  8.1399173343044594E-036                 -3.5089380005606827E+001                  1.4823394224217731E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      23                  1.0362761476790952E+003                  8.1446491017356742E-036                 -3.5089127621786737E+001                  1.4823370314296843E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      24                  1.0362700107719131E+003                  8.1525049329429236E-036                 -3.5088708929737670E+001                  1.4823342222221340E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      25                  1.0362573150261201E+003                  8.1682907992138626E-036                 -3.5087868809333749E+001                  1.4823284051658941E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      26                  1.0362321277052285E+003                  8.1932220515605680E-036                 -3.5086545274792662E+001                  1.4823168426801747E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      27                  1.0361976835893947E+003                  8.2316814653689362E-036                 -3.5084511443458098E+001                  1.4823009834269966E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      28                  1.0361402374790587E+003                  8.2942939611467495E-036                 -3.5081220576707523E+001                  1.4822744114721514E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      29                  1.0360486139411616E+003                  8.3896130999754459E-036                 -3.5076258066873336E+001                  1.4822317143989261E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      30                  1.0359145176917423E+003                  8.4911259861148855E-036                 -3.5071034715276440E+001                  1.4821685204858943E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      31                  1.0358091199790954E+003                  8.6398855200439155E-036                 -3.5063492011958907E+001                  1.4821182616519733E+001                  6.9971298767312129E-001                  2.9546970540868800E-001                  4.8173069181907113E-003 
                                      32                  1.0355676707112934E+003                  8.9769966652130726E-036                 -3.5046868936148826E+001                  1.4820011489795355E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      33                  1.0350363349439826E+003                  9.3146990373713976E-036                 -3.5030831172815020E+001                  1.4817335743639429E+001                  6.9971298767312118E-001                  2.9546970540868811E-001                  4.8173069181907113E-003 
                                      34                  1.0347917991984646E+003                  9.5808096487555219E-036                 -3.5018597788298393E+001                  1.4816058924614614E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      35                  1.0344382550974474E+003                  9.9237317034838882E-036                 -3.5003324985761324E+001                  1.4814161292107253E+001                  6.9971298767312118E-001                  2.9546970540868800E-001                  4.8173069181908224E-003 
                                      36                  1.0340262671223720E+003                  1.0334424117516549E-035                 -3.4985713719283723E+001                  1.4811872515621358E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
