                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     900                                     1809                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0144404064775465E+007                  7.6362512199981916E+002                  3.5068177621790178E+003                  1.5054240008248395E+005                  1.0525963484332228E+003                 -4.0915878782166759E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0068506378926840E-001                  5.4127455494237275E-001                  2.3770867198090081E-009                  2.5237122867163486E-001                  4.4334109468360597E-003                  1.4263938520349662E+001                 -1.1471735922011236E-005                  3.8840447806675624E+000                  2.7217872683707843E-005                  5.8277082758628298E+000                  3.0568523301704622E+000                  1.3129980445227637E-002                  1.4360149549980101E+000                  2.8535396278478366E-002                  8.2838610264574921E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4173631626090383E+001                  1.0401551472000124E+003                  1.4163519288252939E+001                  1.0387855809220114E+003                  9.0532941443074510E+007                  3.0139619195717877E+001                  9.4750306309280859E+005                  1.5091072396786528E+005                  1.0980259053124668E+004                  6.5303418961145115E+004                  8.0020475238583913E+002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.0525963484332228E+003                  7.9447184736844546E-036                 -3.5099921487694054E+001                  1.4263938520349662E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       2                  1.0525963484316785E+003                  7.9447184599658296E-036                 -3.5099921488443975E+001                  1.4263938520342528E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       3                  1.0525963484271761E+003                  7.9447196414383877E-036                 -3.5099921423859314E+001                  1.4263938520321801E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       4                  1.0525963484150823E+003                  7.9447202895919337E-036                 -3.5099921388428299E+001                  1.4263938520266082E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       5                  1.0525963483727501E+003                  7.9447220810462791E-036                 -3.5099921290499282E+001                  1.4263938520071068E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       6                  1.0525963482397110E+003                  7.9447245117665075E-036                 -3.5099921157625126E+001                  1.4263938519458165E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       7                  1.0525963478829333E+003                  7.9447291268023442E-036                 -3.5099920905346522E+001                  1.4263938517814470E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       8                  1.0525963467309427E+003                  7.9447199741022218E-036                 -3.5099921405674401E+001                  1.4263938512507282E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                       9                  1.0525963438724202E+003                  7.9447289128171050E-036                 -3.5099920917043910E+001                  1.4263938499338114E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      10                  1.0525963374395014E+003                  7.9447395410873943E-036                 -3.5099920336055426E+001                  1.4263938469701753E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      11                  1.0525963266864553E+003                  7.9447387780238475E-036                 -3.5099920377767845E+001                  1.4263938420162544E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      12                  1.0525963048301901E+003                  7.9447613623413579E-036                 -3.5099919143211139E+001                  1.4263938319470904E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      13                  1.0525962638331141E+003                  7.9448091467008074E-036                 -3.5099916531122460E+001                  1.4263938130597182E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
                                      14                  1.0525961933832680E+003                  7.9448880066912744E-036                 -3.5099912220346944E+001                  1.4263937806032470E+001                  6.9971298767312118E-001                  2.9546970540868805E-001                  4.8173069181907113E-003 
