                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1050                                     1814                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0286199903582685E+007                  8.0083764586598147E+002                  3.4637744252989660E+003                  1.6886844535762086E+005                  1.1427043653247999E+003                 -3.8398659245215865E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7183999604684249E-002                  3.2902446815570224E-001                  1.3285973377146190E-014                  6.4795116811995968E-001                  4.5934337969148371E-003                  1.2488931688943167E+001                 -1.4313570062026872E-005                  2.6276649584696421E+000                  1.8226637669364551E-005                  4.2509406895264803E+000                  1.8687690392691159E+000                  1.1802716523832500E-002                  3.6853919901799688E+000                  2.8848218717545185E-002                  8.3535043857029425E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2364779632091290E+001                  1.1262542456837696E+003                  1.2351114677068326E+001                  1.1244562051429079E+003                  1.0943890930881736E+008                  1.8973512057461296E+001                  7.3956574080460996E+005                  1.6521883088197830E+005                  1.3523246492836204E+004                  3.0217537654420585E+003                  1.1459374253133481E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.1427043653247999E+003                  7.0840977549937112E-036                 -3.5149715454517334E+001                  1.2488931688943167E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       2                  1.1427043653235171E+003                  7.0841035209771177E-036                 -3.5149715101030715E+001                  1.2488931688936921E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       3                  1.1427043653197659E+003                  7.0841035174642629E-036                 -3.5149715101246073E+001                  1.2488931688918775E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       4                  1.1427043653096896E+003                  7.0841041438145852E-036                 -3.5149715062847356E+001                  1.2488931688869988E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       5                  1.1427043652744189E+003                  7.0841032037182307E-036                 -3.5149715120480430E+001                  1.2488931688699243E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       6                  1.1427043651635811E+003                  7.0841022347104347E-036                 -3.5149715179885938E+001                  1.2488931688162609E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       7                  1.1427043648663134E+003                  7.0841024511022846E-036                 -3.5149715166619927E+001                  1.2488931686723454E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       8                  1.1427043639065189E+003                  7.0841015273437978E-036                 -3.5149715223251413E+001                  1.2488931682076695E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                       9                  1.1427043615248870E+003                  7.0841152022209402E-036                 -3.5149714384906851E+001                  1.2488931670546300E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      10                  1.1427043561651878E+003                  7.0841127290634010E-036                 -3.5149714536524783E+001                  1.2488931644597892E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      11                  1.1427043472060927E+003                  7.0841143986230189E-036                 -3.5149714434171742E+001                  1.2488931601223351E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      12                  1.1427043289961400E+003                  7.0841257267952420E-036                 -3.5149713739694150E+001                  1.2488931513061795E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      13                  1.1427042948386340E+003                  7.0841493905983730E-036                 -3.5149712288979920E+001                  1.2488931347691549E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      14                  1.1427042361418276E+003                  7.0841890799603578E-036                 -3.5149709855826458E+001                  1.2488931063515722E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      15                  1.1427041289970355E+003                  7.0842753691444535E-036                 -3.5149704565921311E+001                  1.2488930544780107E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      16                  1.1427039174047295E+003                  7.0844142138786703E-036                 -3.5149696054265867E+001                  1.2488929520355423E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      17                  1.1427035819772434E+003                  7.0846245192825511E-036                 -3.5149683162145500E+001                  1.2488927896351296E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      18                  1.1427031061806774E+003                  7.0849227013587035E-036                 -3.5149664883674319E+001                  1.2488925592670208E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      19                  1.1427024370618483E+003                  7.0853092242097043E-036                 -3.5149641191085195E+001                  1.2488922352840714E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      20                  1.1427015476581028E+003                  7.0859081078657563E-036                 -3.5149604484024515E+001                  1.2488918046177060E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      21                  1.1427001220000086E+003                  7.0868768182927550E-036                 -3.5149545115933364E+001                  1.2488911142297473E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      22                  1.1426977286074584E+003                  7.0885529718146223E-036                 -3.5149442410866989E+001                  1.2488899550529698E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      23                  1.1426935702798078E+003                  7.0908523429114023E-036                 -3.5149301558106842E+001                  1.2488879406115014E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      24                  1.1426886861523778E+003                  7.0947038737557056E-036                 -3.5149065726870035E+001                  1.2488855738181490E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      25                  1.1426785778947317E+003                  7.1024055782276546E-036                 -3.5148594531223786E+001                  1.2488806728737393E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      26                  1.1426585071007696E+003                  7.1145781521147194E-036                 -3.5147850845634530E+001                  1.2488709313313825E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      27                  1.1426310236976044E+003                  7.1333749456793665E-036                 -3.5146704947918195E+001                  1.2488575697073923E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      28                  1.1425850940242710E+003                  7.1640230843214575E-036                 -3.5144843023412442E+001                  1.2488351824949968E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      29                  1.1425116000830553E+003                  7.2107653437785977E-036                 -3.5142018637230677E+001                  1.2487992096637718E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      30                  1.1424035130769855E+003                  7.2606671468766263E-036                 -3.5139023472289516E+001                  1.2487459679824056E+001                  6.9971298767036283E-001                  2.9546970541144651E-001                  4.8173069181907113E-003 
                                      31                  1.1423181265765509E+003                  7.3340079731875199E-036                 -3.5134658622230681E+001                  1.2487036242709138E+001                  6.9971298767032786E-001                  2.9546970541148138E-001                  4.8173069181907113E-003 
                                      32                  1.1421211006018714E+003                  7.5012737517080077E-036                 -3.5124864985092444E+001                  1.2486049553439436E+001                  6.9971298767032319E-001                  2.9546970541148609E-001                  4.8173069181907113E-003 
                                      33                  1.1416807345353602E+003                  7.7516098900955658E-036                 -3.5110608091845052E+001                  1.2483795203021558E+001                  6.9971298767026613E-001                  2.9546970541154316E-001                  4.8173069181907113E-003 
                                      34                  1.1411747448930093E+003                  8.0472536028907855E-036                 -3.5094352312007132E+001                  1.2481120686934799E+001                  6.9971298767017098E-001                  2.9546970541163819E-001                  4.8173069181908224E-003 
                                      35                  1.1405777884208380E+003                  8.3210856401996487E-036                 -3.5079820008229760E+001                  1.2477848174906866E+001                  6.9971298767012047E-001                  2.9546970541168888E-001                  4.8173069181907113E-003 
                                      36                  1.1401577954985869E+003                  8.5837997302885959E-036                 -3.5066320423503093E+001                  1.2475469556835918E+001                  6.9971298766995982E-001                  2.9546970541184941E-001                  4.8173069181907113E-003 
                                      37                  1.1396148062004268E+003                  8.8441045723224599E-036                 -3.5053346130983179E+001                  1.2472299946320113E+001                  6.9971298766993839E-001                  2.9546970541187101E-001                  4.8173069181906003E-003 
                                      38                  1.1392024289846461E+003                  9.1058711162770919E-036                 -3.5040678500951365E+001                  1.2469821847346202E+001                  6.9971298766980472E-001                  2.9546970541200457E-001                  4.8173069181907113E-003 
                                      39                  1.1386607462375271E+003                  9.4304628366346014E-036                 -3.5025466992049125E+001                  1.2466473179718523E+001                  6.9971298766967160E-001                  2.9546970541213763E-001                  4.8173069181907113E-003 
                                      40                  1.1380169608518531E+003                  9.7317643429527958E-036                 -3.5011808416160697E+001                  1.2462355747434056E+001                  6.9971298766959622E-001                  2.9546970541221301E-001                  4.8173069181907113E-003 
                                      41                  1.1375485465976421E+003                  1.0032686226553173E-035                 -3.4998582770152424E+001                  1.2459267240033457E+001                  6.9971298766945966E-001                  2.9546970541234946E-001                  4.8173069181909334E-003 
                                      42                  1.1369045543016507E+003                  1.0331784221912089E-035                 -3.4985824672592742E+001                  1.2454894041254844E+001                  6.9971298766932866E-001                  2.9546970541248041E-001                  4.8173069181909334E-003 
                                      43                  1.1364210058106885E+003                  1.0570942314119734E-035                 -3.4975886297121939E+001                  1.2451515843638530E+001                  6.9971298766923584E-001                  2.9546970541257322E-001                  4.8173069181909334E-003 
                                      44                  1.1359919862375875E+003                  1.0759665413998462E-035                 -3.4968201233419947E+001                  1.2448451686505818E+001                  6.9971298766923284E-001                  2.9546970541257622E-001                  4.8173069181909334E-003 
                                      45                  1.1356907246524004E+003                  1.0958730408691095E-035                 -3.4960239756840473E+001                  1.2446263002839592E+001                  6.9971298766902001E-001                  2.9546970541278911E-001                  4.8173069181909334E-003 
                                      46                  1.1352171383115970E+003                  1.1191001522353794E-035                 -3.4951131045181356E+001                  1.2442761108973631E+001                  6.9971298766877121E-001                  2.9546970541303785E-001                  4.8173069181909334E-003 
                                      47                  1.1347733854732637E+003                  1.1448126591526242E-035                 -3.4941265576863813E+001                  1.2439412981045427E+001                  6.9971298766874168E-001                  2.9546970541306739E-001                  4.8173069181909334E-003 
                                      48                  1.1341944814686758E+003                  1.1728633678901647E-035                 -3.4930752577848260E+001                  1.2434948810474490E+001                  6.9971298766873624E-001                  2.9546970541307283E-001                  4.8173069181909334E-003 
                                      49                  1.1336503908496416E+003                  1.1975161545184746E-035                 -3.4921718619232053E+001                  1.2430654557223374E+001                  6.9971298766873302E-001                  2.9546970541307604E-001                  4.8173069181909334E-003 
