                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      98                                      946                  2.0000000000000000E+001                  4.8469999999999997E-003                  7.0656667473749286E+006                  7.8985384722862465E+004                  3.3005307942755273E+004                  7.9051832373885525E+004                  8.6108738881871680E+000                 -6.3067573751702355E+000                  3.2981702845670424E-001                  2.2041954066370901E-009                  6.6557912897086458E-001                  4.2842785958442454E-005                  2.8358717824617302E-003                  8.1941518199474413E-005                  4.0755231361785802E-004                  1.9834390564410242E+001                 -4.0388694473755361E-008                  1.0576012162558280E+001                  4.9192610425871965E-005                  9.1646881628603794E+000                  3.8690397314783361E-003                  3.2916054816845050E-002                  2.4264393021947522E-002                  8.0835517637217746E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9834390549756634E+001                  8.5612293933242647E+000                  1.9834390387627192E+001                  8.4796300852208937E+000                  5.6806101340906433E+004                  1.3566196107020003E+004                  2.5090361562526487E+006                  7.9185036372055649E+004                  7.9185036372055663E+004                  2.0446571518828703E-024                  5.3919239126832472E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  8.6108738881871680E+000                  2.7484073555410015E-036                 -3.5560918897830661E+001                  1.9834390564410242E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       2                  8.6107701481009560E+000                  2.7666103094360709E-036                 -3.5558052009048481E+001                  1.9834390564400323E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       3                  8.6106670880748251E+000                  2.7929427242935170E-036                 -3.5553937970413678E+001                  1.9834390564390407E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       4                  8.6104724753528092E+000                  2.8450934740207214E-036                 -3.5545903460522148E+001                  1.9834390564371503E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       5                  8.6100809618475544E+000                  2.9142487341521577E-036                 -3.5535473383499571E+001                  1.9834390564332764E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       6                  8.6096987042909010E+000                  3.0159238423193642E-036                 -3.5520579629406392E+001                  1.9834390564294026E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       7                  8.6089598659534676E+000                  3.1478896426272541E-036                 -3.5501980501356847E+001                  1.9834390564216548E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       8                  8.6082518810744233E+000                  3.2443090159812597E-036                 -3.5488877786537358E+001                  1.9834390564139071E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                       9                  8.6079083667727545E+000                  3.3385067084734098E-036                 -3.5476447746748136E+001                  1.9834390564100332E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                      10                  8.6072406438545137E+000                  3.4909879896384530E-036                 -3.5457051645325812E+001                  1.9834390564022851E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                      11                  8.6062826245960427E+000                  3.6384310799537151E-036                 -3.5439085847176301E+001                  1.9834390563906638E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                      12                  8.6056697139254297E+000                  3.7245136373075418E-036                 -3.5428930431217495E+001                  1.9834390563829157E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
                                      13                  8.6053703094902456E+000                  3.8086942851255290E-036                 -3.5419223885730084E+001                  1.9834390563790418E+001                  7.3909997923584991E-001                  2.5605351778815710E-001                  4.8465029759929834E-003 
