                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1200                                     1834                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0305675671460260E+007                  5.0606531921957716E+000                  3.4293983371087411E+003                  1.9798377098992714E+005                  1.2622278741111988E+003                 -3.4747437834264074E+000                  3.7475069394554108E-099                  1.1114583899399350E-097                  1.2032471037988258E-005                  2.7988192923115879E-001                  1.4462115955986453E-094                  7.1264863517587274E-001                  6.0219915329541652E-003                  1.2185055806626588E+001                 -1.9342910929000483E-005                  2.4111263491527923E+000                  1.6686727426846524E-005                  4.0679917709391127E+000                  1.5908531375433768E+000                  1.1508223220363566E-002                  4.0508313138406500E+000                  3.6306107281553743E-002                  8.3772105600365183E+000                  5.6757375523046587E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2015384164487841E+001                  1.2420621480812467E+003                  1.1996887230150273E+001                  1.2398845439298095E+003                  1.2862531759220617E+008                  1.3946564045347804E+001                  6.1545730469223810E+005                  5.5824149656736699E+004                  4.4255899050693937E+004                  3.4966012040610786E+002                  4.3901390091974745E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.2622278741111988E+003                  6.5370223798476925E-036                 -3.5184620028201017E+001                  1.2185055806626588E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       2                  1.2622278741100777E+003                  6.5370248986605032E-036                 -3.5184619860860870E+001                  1.2185055806620495E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       3                  1.2622278741068310E+003                  6.5370249027911862E-036                 -3.5184619860586444E+001                  1.2185055806602790E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       4                  1.2622278740980955E+003                  6.5370296063390781E-036                 -3.5184619548101146E+001                  1.2185055806555191E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       5                  1.2622278740675392E+003                  6.5370318662912936E-036                 -3.5184619397958855E+001                  1.2185055806388599E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       6                  1.2622278739714939E+003                  6.5370266634660921E-036                 -3.5184619743614071E+001                  1.2185055805865023E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                       7                  1.2622278737138959E+003                  6.5370269476209119E-036                 -3.5184619724735938E+001                  1.2185055804460886E+001                  6.9971298754602496E-001                  2.9546970553526325E-001                  4.8173069187118500E-003 
                                       8                  1.2622278728821773E+003                  6.5370331724961639E-036                 -3.5184619311179787E+001                  1.2185055799927186E+001                  6.9971298754602496E-001                  2.9546970553526325E-001                  4.8173069187118500E-003 
                                       9                  1.2622278707858316E+003                  6.5370371746969207E-036                 -3.5184619045289573E+001                  1.2185055788500035E+001                  6.9971298754602496E-001                  2.9546970553526325E-001                  4.8173069187118500E-003 
                                      10                  1.2622278681383077E+003                  6.5370353940124112E-036                 -3.5184619163591115E+001                  1.2185055774068420E+001                  6.9971298754602496E-001                  2.9546970553526325E-001                  4.8173069187118500E-003 
                                      11                  1.2622278654907927E+003                  6.5370359442865740E-036                 -3.5184619127033102E+001                  1.2185055759636803E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                      12                  1.2622278609485029E+003                  6.5370443087295571E-036                 -3.5184618571333367E+001                  1.2185055734876812E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
                                      13                  1.2622278564062133E+003                  6.5370323073242385E-036                 -3.5184619368658375E+001                  1.2185055710116817E+001                  6.9971298754602496E-001                  2.9546970553526319E-001                  4.8173069187118500E-003 
