                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1250                                     1827                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0305827066467149E+007                  1.5119265524739731E+000                  3.4280504185497134E+003                  1.9944503430188459E+005                  1.2678738626485281E+003                 -3.4538536544316227E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9715288350575473E-007                  2.7985946634126757E-001                  0.0000000000000000E+000                  7.1266471076884130E-001                  6.0389404311297860E-003                  1.2182107316059147E+001                 -1.9620258868264019E-005                  2.4089942909704956E+000                  1.6671792836955329E-005                  4.0671447931873113E+000                  1.5908051136838672E+000                  1.1478286915929375E-002                  4.0508648062843235E+000                  3.6383796103983540E-002                  8.3772105600365432E+000                  5.6757375523052547E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2010031825442937E+001                  1.2475321194587827E+003                  1.1991477180719427E+001                  1.2453625482754962E+003                  1.2950496962435906E+008                  1.3776062492756871E+001                  6.1080023168789607E+005                  5.0885278726151875E+004                  4.5913642414709182E+004                  5.1001730625126118E+002                  4.6408467617964952E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.2678738626485281E+003                  6.5150389535683366E-036                 -3.5186082983286894E+001                  1.2182107316059147E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       2                  1.2678738626474201E+003                  6.5150386539679156E-036                 -3.5186083003258354E+001                  1.2182107316053054E+001                  6.9971298753797362E-001                  2.9546970554321350E-001                  4.8173069188128803E-003 
                                       3                  1.2678738626441859E+003                  6.5150388500465466E-036                 -3.5186082990187693E+001                  1.2182107316035353E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       4                  1.2678738626355014E+003                  6.5150459345540984E-036                 -3.5186082517932505E+001                  1.2182107315987766E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       5                  1.2678738626051147E+003                  6.5150387803499571E-036                 -3.5186082994833683E+001                  1.2182107315821215E+001                  6.9971298753797362E-001                  2.9546970554321361E-001                  4.8173069188127693E-003 
                                       6                  1.2678738625096216E+003                  6.5150440048488482E-036                 -3.5186082646567129E+001                  1.2182107315297763E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       7                  1.2678738622535197E+003                  6.5150434711890947E-036                 -3.5186082682141020E+001                  1.2182107313893967E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       8                  1.2678738614266035E+003                  6.5150451950169870E-036                 -3.5186082567230223E+001                  1.2182107309361369E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
                                       9                  1.2678738593423848E+003                  6.5150439844536315E-036                 -3.5186082647926675E+001                  1.2182107297936980E+001                  6.9971298753797362E-001                  2.9546970554321350E-001                  4.8173069188128803E-003 
                                      10                  1.2678738567101709E+003                  6.5150451263329156E-036                 -3.5186082571808726E+001                  1.2182107283508858E+001                  6.9971298753797362E-001                  2.9546970554321350E-001                  4.8173069188128803E-003 
                                      11                  1.2678738540779568E+003                  6.5150232688399856E-036                 -3.5186084028836923E+001                  1.2182107269080735E+001                  6.9971298753797373E-001                  2.9546970554321361E-001                  4.8173069188126583E-003 
