                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1500                                     1934                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318243507248029E+007                  6.7892366316267094E-001                  3.4108193031863252E+003                  2.3553735083679520E+005                  1.3917822875740121E+003                 -1.1355683170036024E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5586004225953355E-012                  7.8811234487601411E-002                  6.5886578304488550E-031                  5.8776755365329414E-001                  3.1849292866055140E-001                  1.1878153151182310E+001                 -2.6596948757848927E-005                  2.1939556698995375E+000                  1.5121514833910055E-005                  3.7972248827444375E+000                  1.6528702803071980E+000                  5.5038562804616779E-003                  4.0129430514202085E+000                  1.9318318479907795E-001                  8.3999294634179762E+000                  5.6757375540601531E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1647867861481915E+001                  1.3668902094855248E+003                  1.1623675554914708E+001                  1.3643026480478698E+003                  1.5083984205571654E+008                  1.0102905455923842E+001                  5.0430019311088929E+005                  1.1231300191229021E+007                  1.7674570203357409E+000                  6.9382720988199196E+005                  1.7403787072429411E+007                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3917822875740121E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153151182310E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       2                  1.3917822875730133E+003                 -2.0282577949397901E-007                 -6.6928768462793178E+000                  1.1878153151176370E+001                  6.9758560290287519E-001                  2.9759872290772366E-001                  4.8156741894012089E-003 
                                       3                  1.3917822875701254E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153151159111E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       4                  1.3917822875623626E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153151112711E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       5                  1.3917822875351771E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153150950315E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       6                  1.3917822874497540E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153150439926E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       7                  1.3917822872206607E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153149071155E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       8                  1.3917822864809382E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153144651646E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                       9                  1.3917822846164763E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153133512308E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      10                  1.3917822802418764E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153107375995E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      11                  1.3917822700161487E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878153046281753E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      12                  1.3917822533385931E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878152946640737E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      13                  1.3917822230557827E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878152765713978E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      14                  1.3917821677963359E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878152435561486E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      15                  1.3917820669481046E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878151833031875E+001                  6.9758560290287519E-001                  2.9759872290772360E-001                  4.8156741894012089E-003 
                                      16                  1.3917818947723051E+003                 -2.0282577949397899E-007                 -6.6928768462793178E+000                  1.1878150804342189E+001                  6.9758560243170487E-001                  2.9759872337925414E-001                  4.8156741890410526E-003 
                                      17                  1.3917816279852309E+003                 -2.0282577949397896E-007                 -6.6928768462793178E+000                  1.1878149210366626E+001                  6.9758559672205922E-001                  2.9759872909326313E-001                  4.8156741846776541E-003 
                                      18                  1.3917812438685544E+003                 -2.0282577949397896E-007                 -6.6928768462793178E+000                  1.1878146915345530E+001                  6.9758559672205922E-001                  2.9759872909326313E-001                  4.8156741846776541E-003 
                                      19                  1.3917807025710260E+003                 -2.0282577949397896E-007                 -6.6928768462793178E+000                  1.1878143681134732E+001                  6.9758559672205922E-001                  2.9759872909326313E-001                  4.8156741846776541E-003 
                                      20                  1.3917799036045033E+003                 -2.0282577949397896E-007                 -6.6928768462793178E+000                  1.1878138907219338E+001                  6.9758558649581814E-001                  2.9759873932731945E-001                  4.8156741768623501E-003 
                                      21                  1.3917786262619384E+003                 -2.0282577949397891E-007                 -6.6928768462793178E+000                  1.1878131274612523E+001                  6.9758557906999141E-001                  2.9759874675882131E-001                  4.8156741711873341E-003 
                                      22                  1.3917763445041251E+003                 -2.0282577949397891E-007                 -6.6928768462793178E+000                  1.1878117639109897E+001                  6.9758556195885635E-001                  2.9759876388303330E-001                  4.8156741581103502E-003 
                                      23                  1.3917722253169381E+003                 -2.0282577949397891E-007                 -6.6928768462793178E+000                  1.1878093019797520E+001                  6.9758553857975203E-001                  2.9759878728000477E-001                  4.8156741402431980E-003 
                                      24                  1.3917650357217738E+003                 -2.0282577949397891E-007                 -6.6928768462793178E+000                  1.1878050038382304E+001                  6.9758549764489686E-001                  2.9759882824614375E-001                  4.8156741089593336E-003 
                                      25                  1.3917529772798173E+003                 -2.0282577949397885E-007                 -6.6928768462793178E+000                  1.1877977917964891E+001                  6.9758542860994399E-001                  2.9759889733385542E-001                  4.8156740562006473E-003 
