                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1550                                     2013                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318258394591572E+007                  1.9540802958020842E-001                  3.4109832758217926E+003                  2.3604364167850823E+005                  1.3931433604828796E+003                 -8.2005784309715157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6094809765718768E-013                  2.2146605803818723E-002                  1.9787097951913970E-031                  5.5458521445206854E-001                  4.0155567954115218E-001                  1.1877757142101162E+001                 -2.6627433629778953E-005                  2.1936794194750622E+000                  1.5119487890589026E-005                  3.7956585271407515E+000                  1.6225662845211357E+000                  5.3245372004146084E-003                  3.9939221917763077E+000                  2.4201230001607982E-001                  8.3999294634181236E+000                  5.6757375540700394E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1646842776026739E+001                  1.3682005242842181E+003                  1.1621925471661839E+001                  1.3655321373415486E+003                  1.5106368173119310E+008                  1.0070715000373593E+001                  5.0320174090004439E+005                  2.1250318383826975E+007                  1.6542989257113632E+000                  9.4463889544202981E+005                  2.7002220088502511E+007                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3931433604828796E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757142101162E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       2                  1.3931433604818897E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757142095222E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       3                  1.3931433604789993E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757142077964E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       4                  1.3931433604712386E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757142031564E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       5                  1.3931433604440761E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757141869175E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       6                  1.3931433603586784E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757141358801E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       7                  1.3931433601296678E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757139990075E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       8                  1.3931433593902614E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757135570715E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                       9                  1.3931433575265596E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757124431747E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                      10                  1.3931433531537498E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877757098296307E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                      11                  1.3931433429322269E+003                 -2.0282577949343045E-007                 -6.6928768462804928E+000                  1.1877757037204102E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                      12                  1.3931433262615153E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877756937566406E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                      13                  1.3931432959910612E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877756756645679E+001                  6.9758521422873587E-001                  2.9759911187890009E-001                  4.8156738923640363E-003 
                                      14                  1.3931432407542611E+003                 -2.0282577949343051E-007                 -6.6928768462804920E+000                  1.1877756426504195E+001                  6.9758521341866842E-001                  2.9759911268958672E-001                  4.8156738917448649E-003 
                                      15                  1.3931431399469411E+003                 -2.0282577949343053E-007                 -6.6928768462804920E+000                  1.1877755823994674E+001                  6.9758521252032923E-001                  2.9759911358861252E-001                  4.8156738910583030E-003 
                                      16                  1.3931429678417733E+003                 -2.0282577949343053E-007                 -6.6928768462804920E+000                  1.1877754795339280E+001                  6.9758521252032923E-001                  2.9759911358861252E-001                  4.8156738910583030E-003 
                                      17                  1.3931427011632541E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877753201416862E+001                  6.9758520980641880E-001                  2.9759911630459701E-001                  4.8156738889841844E-003 
                                      18                  1.3931423172024658E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877750906472277E+001                  6.9758520857980022E-001                  2.9759911753215296E-001                  4.8156738880468231E-003 
                                      19                  1.3931417761269861E+003                 -2.0282577949343053E-007                 -6.6928768462804920E+000                  1.1877747672369310E+001                  6.9758520350189823E-001                  2.9759912261393573E-001                  4.8156738841660385E-003 
                                      20                  1.3931409774860354E+003                 -2.0282577949343053E-007                 -6.6928768462804920E+000                  1.1877742898613073E+001                  6.9758519834138333E-001                  2.9759912777839437E-001                  4.8156738802223042E-003 
                                      21                  1.3931397006660457E+003                 -2.0282577949343051E-007                 -6.6928768462804920E+000                  1.1877735266260725E+001                  6.9758519076704362E-001                  2.9759913535852250E-001                  4.8156738744338234E-003 
                                      22                  1.3931374198388673E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1877721631212697E+001                  6.9758517722353997E-001                  2.9759914891237665E-001                  4.8156738640834362E-003 
                                      23                  1.3931333023413843E+003                 -2.0282577949343040E-007                 -6.6928768462804928E+000                  1.1877697012721107E+001                  6.9758515273129829E-001                  2.9759917342333597E-001                  4.8156738453657422E-003 
                                      24                  1.3931261156754863E+003                 -2.0282577949343027E-007                 -6.6928768462804928E+000                  1.1877654032738860E+001                  6.9758510984854605E-001                  2.9759921633886061E-001                  4.8156738125932907E-003 
                                      25                  1.3931140621273346E+003                 -2.0282577949343016E-007                 -6.6928768462804928E+000                  1.1877581914725896E+001                  6.9758503753211187E-001                  2.9759928871056091E-001                  4.8156737573272768E-003 
                                      26                  1.3930948821481584E+003                 -2.0282577949343019E-007                 -6.6928768462804928E+000                  1.1877467076691184E+001                  6.9758492140873463E-001                  2.9759940492268305E-001                  4.8156736685822654E-003 
                                      27                  1.3930645450354280E+003                 -2.0282577949343045E-007                 -6.6928768462804928E+000                  1.1877285232452758E+001                  6.9758473507094576E-001                  2.9759959140287634E-001                  4.8156735261779549E-003 
                                      28                  1.3930166963290242E+003                 -2.0282577949343008E-007                 -6.6928768462804928E+000                  1.1876997912324812E+001                  6.9758443444684648E-001                  2.9759989225672012E-001                  4.8156732964333981E-003 
                                      29                  1.3929427140013145E+003                 -2.0282577949343048E-007                 -6.6928768462804920E+000                  1.1876552436726076E+001                  6.9758395295033493E-001                  2.9760037412120244E-001                  4.8156729284626332E-003 
                                      30                  1.3928321376601343E+003                 -2.0282577949343069E-007                 -6.6928768462804920E+000                  1.1875883827073039E+001                  6.9758319380925571E-001                  2.9760113384243142E-001                  4.8156723483128161E-003 
                                      31                  1.3926400919431971E+003                 -2.0282577949343053E-007                 -6.6928768462804920E+000                  1.1874714644205909E+001                  6.9758176842842534E-001                  2.9760256031255633E-001                  4.8156712590183837E-003 
                                      32                  1.3922223399645277E+003                 -2.0282577949343024E-007                 -6.6928768462804928E+000                  1.1872136212811965E+001                  6.9757823925011686E-001                  2.9760609218787498E-001                  4.8156685620082129E-003 
                                      33                  1.3915439697430204E+003                 -2.0282577949343045E-007                 -6.6928768462804928E+000                  1.1867845731553690E+001                  6.9757094232383887E-001                  2.9761339469036152E-001                  4.8156629857996069E-003 
                                      34                  1.3906295102170825E+003                 -2.0282577949342992E-007                 -6.6928768462804937E+000                  1.1861857179144124E+001                  6.9755775857913571E-001                  2.9762658850956875E-001                  4.8156529112954871E-003 
                                      35                  1.3901936585076908E+003                 -2.0282577949342722E-007                 -6.6928768462804991E+000                  1.1858920179868889E+001                  6.9754978192814354E-001                  2.9763457125570630E-001                  4.8156468161502097E-003 
                                      36                  1.3892580644695886E+003                 -2.0282577949339332E-007                 -6.6928768462805719E+000                  1.1852431806897689E+001                  6.9753049530611266E-001                  2.9765387261451443E-001                  4.8156320793728558E-003 
                                      37                  1.3887701609742685E+003                 -2.0282577949318526E-007                 -6.6928768462810178E+000                  1.1848949686054002E+001                  6.9751821220579791E-001                  2.9766616509943328E-001                  4.8156226947688729E-003 
                                      38                  1.3881465360498592E+003                 -2.0282577949143460E-007                 -6.6928768462847659E+000                  1.1844399795845588E+001                  6.9750204504672630E-001                  2.9768234460843096E-001                  4.8156103448426801E-003 
                                      39                  1.3876998699932360E+003                 -2.0282577948181800E-007                 -6.6928768463053574E+000                  1.1841073006162329E+001                  6.9749157330317824E-001                  2.9769282434243710E-001                  4.8156023543846072E-003 
                                      40                  1.3869686128703431E+003                 -2.0282577938757627E-007                 -6.6928768465071498E+000                  1.1835503708442877E+001                  6.9747414186872603E-001                  2.9771026900821745E-001                  4.8155891230565739E-003 
                                      41                  1.3860738588919091E+003                 -2.0282577821083768E-007                 -6.6928768490268045E+000                  1.1828483382333948E+001                  6.9745634766156905E-001                  2.9772807585941613E-001                  4.8155764790147604E-003 
