                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1650                                     2116                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318293418623980E+007                  8.0823309835084872E-002                  3.4102148675156673E+003                  2.3586141434361829E+005                  1.3932331481803114E+003                  3.7996883849790331E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2390393577019631E-014                  1.5591507000363078E-003                  1.2805313788664312E-031                  5.4280724664254221E-001                  4.3103746502278573E-001                  1.1876824264247386E+001                 -2.6030094427952897E-005                  2.1930286576230746E+000                  1.5114712932755025E-005                  3.7905931420023529E+000                  1.3628797843276363E+000                  4.8524179140069313E-003                  3.8326809176096281E+000                  6.4946640359303021E-001                  8.3999294634181059E+000                  5.6757375541073918E+000                  6.3267229285814308E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1645686157134328E+001                  1.3683047726485302E+003                  1.1622063401506670E+001                  1.3657925660867147E+003                  1.5108421917034945E+008                  1.0076263190970785E+001                  5.0355096433639008E+005                  2.3376360712702301E+008                  1.3565101198886020E+000                  3.0142365334325116E+006                  2.1133317973119888E+008                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3932331481803114E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824264247386E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       2                  1.3932331481793212E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824264241446E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       3                  1.3932331481764306E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824264224188E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       4                  1.3932331481686795E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824264177795E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       5                  1.3932331481415547E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824264015418E+001                  6.9758423899020128E-001                  2.9760008786273728E-001                  4.8156731470614389E-003 
                                       6                  1.3932331480562902E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824263505084E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       7                  1.3932331478276310E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824262136466E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       8                  1.3932331470893253E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824257717452E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                       9                  1.3932331452284534E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824246579361E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                      10                  1.3932331408622617E+003                 -2.0282577949214050E-007                 -6.6928768462832542E+000                  1.1876824220445972E+001                  6.9758423899020139E-001                  2.9760008786273723E-001                  4.8156731470614389E-003 
                                      11                  1.3932331306562064E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824159358563E+001                  6.9758423899020139E-001                  2.9760008786273728E-001                  4.8156731470613279E-003 
                                      12                  1.3932331140107333E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876824059728698E+001                  6.9758423851108764E-001                  2.9760008834221696E-001                  4.8156731466953984E-003 
                                      13                  1.3932330837861825E+003                 -2.0282577949214050E-007                 -6.6928768462832542E+000                  1.1876823878822178E+001                  6.9758423838274852E-001                  2.9760008847065422E-001                  4.8156731465972547E-003 
                                      14                  1.3932330286330075E+003                 -2.0282577949214047E-007                 -6.6928768462832542E+000                  1.1876823548706625E+001                  6.9758423838274852E-001                  2.9760008847065422E-001                  4.8156731465972547E-003 
                                      15                  1.3932329279786420E+003                 -2.0282577949214058E-007                 -6.6928768462832542E+000                  1.1876822946244422E+001                  6.9758423727673757E-001                  2.9760008957751033E-001                  4.8156731457520419E-003 
                                      16                  1.3932327561336683E+003                 -2.0282577949214058E-007                 -6.6928768462832542E+000                  1.1876821917669819E+001                  6.9758423615230836E-001                  2.9760009070279880E-001                  4.8156731448928403E-003 
                                      17                  1.3932324898593838E+003                 -2.0282577949214058E-007                 -6.6928768462832542E+000                  1.1876820323872584E+001                  6.9758423364169064E-001                  2.9760009321533537E-001                  4.8156731429740418E-003 
                                      18                  1.3932321064805506E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876818029108250E+001                  6.9758423109327050E-001                  2.9760009576570295E-001                  4.8156731410264886E-003 
                                      19                  1.3932315662232188E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876814795259287E+001                  6.9758422752542959E-001                  2.9760009933627035E-001                  4.8156731383000029E-003 
                                      20                  1.3932307687912582E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1876810021877979E+001                  6.9758422225715400E-001                  2.9760010460857228E-001                  4.8156731342736681E-003 
                                      21                  1.3932294939037977E+003                 -2.0282577949214047E-007                 -6.6928768462832542E+000                  1.1876802390125075E+001                  6.9758421382967195E-001                  2.9760011304249467E-001                  4.8156731278333753E-003 
                                      22                  1.3932272165282682E+003                 -2.0282577949214039E-007                 -6.6928768462832551E+000                  1.1876788756147942E+001                  6.9758419876132571E-001                  2.9760012812235648E-001                  4.8156731163178090E-003 
                                      23                  1.3932231052604220E+003                 -2.0282577949214066E-007                 -6.6928768462832542E+000                  1.1876764139589890E+001                  6.9758417151361574E-001                  2.9760015539088974E-001                  4.8156730954944660E-003 
                                      24                  1.3932159294621702E+003                 -2.0282577949214063E-007                 -6.6928768462832542E+000                  1.1876721162983284E+001                  6.9758412381298185E-001                  2.9760020312797753E-001                  4.8156730590406260E-003 
                                      25                  1.3932038941483504E+003                 -2.0282577949214039E-007                 -6.6928768462832551E+000                  1.1876649050634461E+001                  6.9758404339136504E-001                  2.9760028361105406E-001                  4.8156729975808998E-003 
                                      26                  1.3931847431036570E+003                 -2.0282577949214050E-007                 -6.6928768462832542E+000                  1.1876534221619117E+001                  6.9758391430681621E-001                  2.9760041279425181E-001                  4.8156728989319220E-003 
                                      27                  1.3931544517483271E+003                 -2.0282577949214042E-007                 -6.6928768462832551E+000                  1.1876352391662719E+001                  6.9758370731376618E-001                  2.9760061994548970E-001                  4.8156727407441258E-003 
                                      28                  1.3931066751338487E+003                 -2.0282577949214013E-007                 -6.6928768462832551E+000                  1.1876065094100866E+001                  6.9758337375145929E-001                  2.9760095376271056E-001                  4.8156724858301470E-003 
                                      29                  1.3930328038840498E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1875619653489741E+001                  6.9758284054968733E-001                  2.9760148737196274E-001                  4.8156720783498752E-003 
                                      30                  1.3929223929292341E+003                 -2.0282577949214092E-007                 -6.6928768462832533E+000                  1.1874951096349243E+001                  6.9758200270860182E-001                  2.9760232585333479E-001                  4.8156714380633847E-003 
                                      31                  1.3927306332795129E+003                 -2.0282577949214055E-007                 -6.6928768462832542E+000                  1.1873782005309620E+001                  6.9758043838110118E-001                  2.9760389137630233E-001                  4.8156702425965481E-003 
                                      32                  1.3923134950519168E+003                 -2.0282577949214018E-007                 -6.6928768462832551E+000                  1.1871203776425423E+001                  6.9757660628221885E-001                  2.9760772640365873E-001                  4.8156673141224182E-003 
                                      33                  1.3916360968382185E+003                 -2.0282577949214005E-007                 -6.6928768462832551E+000                  1.1866913632141122E+001                  6.9756886682169295E-001                  2.9761547177851833E-001                  4.8156613997887288E-003 
                                      34                  1.3907229076771328E+003                 -2.0282577949213846E-007                 -6.6928768462832586E+000                  1.1860925550071872E+001                  6.9755536556376052E-001                  2.9762898335349269E-001                  4.8156510827468413E-003 
                                      35                  1.3902953873606041E+003                 -2.0282577949213023E-007                 -6.6928768462832764E+000                  1.1858041501923202E+001                  6.9754748622174934E-001                  2.9763686871622402E-001                  4.8156450620266966E-003 
                                      36                  1.3893771940584586E+003                 -2.0282577949203653E-007                 -6.6928768462834771E+000                  1.1851670107754574E+001                  6.9752803419780118E-001                  2.9765633560314170E-001                  4.8156301990571748E-003 
                                      37                  1.3888981253471738E+003                 -2.0282577949154385E-007                 -6.6928768462845323E+000                  1.1848250766028013E+001                  6.9751602903039411E-001                  2.9766834994242686E-001                  4.8156210271790290E-003 
                                      38                  1.3882855708262566E+003                 -2.0282577948793239E-007                 -6.6928768462922648E+000                  1.1843782905738466E+001                  6.9750030245110484E-001                  2.9768408853320572E-001                  4.8156090156894482E-003 
                                      39                  1.3878466910105662E+003                 -2.0282577947058656E-007                 -6.6928768463294066E+000                  1.1840516094708608E+001                  6.9749015351433252E-001                  2.9769424520720406E-001                  4.8156012784634772E-003 
                                      40                  1.3871279421519600E+003                 -2.0282577931951294E-007                 -6.6928768466528883E+000                  1.1835047205794462E+001                  6.9747325417154749E-001                  2.9771115733140230E-001                  4.8155884970502161E-003 
                                      41                  1.3862481300440224E+003                 -2.0282577751683997E-007                 -6.6928768505128060E+000                  1.1828153449065180E+001                  6.9745308166054309E-001                  2.9773134391976691E-001                  4.8155744196900496E-003 
                                      42                  1.3857781718278873E+003                 -2.0282573989614905E-007                 -6.6928769310669658E+000                  1.1824382709362046E+001                  6.9731490510025962E-001                  2.9786960570341003E-001                  4.8154891963303470E-003 
                                      43                  1.3846734131794744E+003                 -2.0282532045441739E-007                 -6.6928778291848179E+000                  1.1815274386644930E+001                  6.9633477140621314E-001                  2.9885033463747734E-001                  4.8148939563095183E-003 
