                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     100                                      945                  2.0000000000000000E+001                  4.8469999999999997E-003                  7.2179197895154990E+006                  7.5356462961926038E+004                  3.2766212711855751E+004                  8.0592337936152078E+004                  8.8217190240502141E+000                 -6.3160478021798214E+000                  3.1580551000197249E-001                  1.8977788458385628E-009                  6.7959075685748582E-001                  4.3087884188382656E-005                  2.8360637648948491E-003                  8.1395312064913504E-005                  4.0755231361789298E-004                  1.9828130466284239E+001                 -4.1355384700369807E-008                  1.0447887950687599E+001                  4.9664406056719774E-005                  9.2865825758559186E+000                  3.8649203235705865E-003                  3.2920942010655430E-002                  2.4243140684462889E-002                  8.0810004462473547E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9828130450809386E+001                  8.7698201010420309E+000                  1.9828130278022350E+001                  8.6837287955102909E+000                  5.8914543833037467E+004                  1.2980639801867204E+004                  2.4602996977197439E+006                  8.0729825894056237E+004                  8.0729825894056194E+004                  2.7128970012225371E-024                  5.4966523100500490E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  8.8217190240502141E+000                  2.6651955143039212E-036                 -3.5574270926348930E+001                  1.9828130466284239E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       2                  8.8216171299899582E+000                  2.6817905476004445E-036                 -3.5571575144297050E+001                  1.9828130466274324E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       3                  8.8215158641003466E+000                  2.7058016210414035E-036                 -3.5567704047370782E+001                  1.9828130466264415E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       4                  8.8213245325972061E+000                  2.7534286852489998E-036                 -3.5560126167413642E+001                  1.9828130466245515E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       5                  8.8209392162452396E+000                  2.8166392794002116E-036                 -3.5550268768561629E+001                  1.9828130466206790E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       6                  8.8205625142578441E+000                  2.9096755155798393E-036                 -3.5536155440447281E+001                  1.9828130466168059E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       7                  8.8198331078863692E+000                  3.0306201730392203E-036                 -3.5518468490253852E+001                  1.9828130466090606E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       8                  8.8191326957520157E+000                  3.1191061134358623E-036                 -3.5505969850091930E+001                  1.9828130466013153E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                       9                  8.8187923841579288E+000                  3.2056270730885298E-036                 -3.5494087002730545E+001                  1.9828130465974425E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                      10                  8.8181300552299753E+000                  3.3458910305999301E-036                 -3.5475488207300629E+001                  1.9828130465896972E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
                                      11                  8.8171780344743365E+000                  3.4817188031278541E-036                 -3.5458206307078910E+001                  1.9828130465780792E+001                  7.3909997921463466E-001                  2.5605351780937230E-001                  4.8465029759929834E-003 
