                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1700                                     2112                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318300368846906E+007                  2.3777740758770111E-001                  3.4101957758013450E+003                  2.3568418451132663E+005                  1.3927251955821878E+003                  9.2467176754431990E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3386337286510725E-016                  4.2599658315336408E-004                  1.2525792136945760E-031                  5.4216609780999203E-001                  4.3263391459095452E-001                  1.1876642775762864E+001                 -2.6128188981165672E-005                  2.1929020540624728E+000                  1.5113783964352846E-005                  3.7888836016020102E+000                  1.1425617048340113E+000                  4.6575561649380079E-003                  3.6937221427648326E+000                  9.9843307213507959E-001                  8.3999294634183617E+000                  5.6757375541202775E+000                  7.5758404596062889E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1645714001029651E+001                  1.3678157198695174E+003                  1.1622106349446263E+001                  1.3653050142011662E+003                  1.5100275576221919E+008                  1.0087209813611068E+001                  5.0392192417951958E+005                  1.8695934833717948E+008                  7.8598870237034113E-001                  1.4488076437807814E+006                  1.8285190968190306E+008                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3927251955821878E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642775762864E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       2                  1.3927251955811882E+003                 -2.0282577949188417E-007                 -6.6928768462838031E+000                  1.1876642775756924E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       3                  1.3927251955783086E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642775739668E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       4                  1.3927251955705503E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642775693274E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       5                  1.3927251955434156E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642775530899E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       6                  1.3927251954581325E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642775020573E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       7                  1.3927251952294282E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642773651977E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       8                  1.3927251944909660E+003                 -2.0282577949188414E-007                 -6.6928768462838031E+000                  1.1876642769233030E+001                  6.9758403878842445E-001                  2.9760028821751228E-001                  4.8156729940632692E-003 
                                       9                  1.3927251926296644E+003                 -2.0282577949188409E-007                 -6.6928768462838031E+000                  1.1876642758095109E+001                  6.9758403762952270E-001                  2.9760028937729988E-001                  4.8156729931774223E-003 
                                      10                  1.3927251882625014E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876642731962120E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      11                  1.3927251780541505E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876642670875645E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      12                  1.3927251614050183E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876642571247300E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      13                  1.3927251311737634E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876642390343546E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      14                  1.3927250760082479E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876642060233037E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      15                  1.3927249753312337E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876641457780041E+001                  6.9758403737629027E-001                  2.9760028963072577E-001                  4.8156729929840214E-003 
                                      16                  1.3927248034479344E+003                 -2.0282577949188406E-007                 -6.6928768462838040E+000                  1.1876640429221155E+001                  6.9758403535895319E-001                  2.9760029164960461E-001                  4.8156729914421437E-003 
                                      17                  1.3927245371140675E+003                 -2.0282577949188403E-007                 -6.6928768462838040E+000                  1.1876638835448276E+001                  6.9758403267683311E-001                  2.9760029433377438E-001                  4.8156729893924499E-003 
                                      18                  1.3927241536503323E+003                 -2.0282577949188403E-007                 -6.6928768462838040E+000                  1.1876636540719005E+001                  6.9758403008417635E-001                  2.9760029692841239E-001                  4.8156729874112569E-003 
