                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1750                                     2050                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318307837738894E+007                  1.0734068259749960E-001                  3.4106291644255393E+003                  2.3580797362304712E+005                  1.3927368825780284E+003                  1.4836508056743938E+000                  0.0000000000000000E+000                  1.0488227213927057E-067                  1.8154906327277123E-016                  1.2996234980333282E-004                  1.2455136529809270E-031                  5.4199834574200623E-001                  4.3304334749182738E-001                  1.1876451508201896E+001                 -2.4845180870771739E-005                  2.1927686288318098E+000                  1.5112804925680158E-005                  3.7877498879264899E+000                  8.9932851770820377E-001                  4.6322236614470304E-003                  3.5448896269649106E+000                  1.3716709453830975E+000                  8.4012910611156233E+000                  5.6757375541300608E+000                  8.3211029633438427E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1645609454422308E+001                  1.3678223888748023E+003                  1.1622030657379593E+001                  1.3653132345671600E+003                  1.5100587240926594E+008                  1.0081505134829790E+001                  5.0364927554091538E+005                  2.8861269615032274E+008                  6.5234809090364354E-001                  1.3113954863733035E+006                  3.0318540906044668E+008                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3927368825780284E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451508201896E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       2                  1.3927368825770388E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451508195956E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       3                  1.3927368825741494E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451508178700E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       4                  1.3927368825663907E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451508132305E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       5                  1.3927368825392361E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451507969934E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       6                  1.3927368824538833E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451507459617E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       7                  1.3927368822249889E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451506091040E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       8                  1.3927368814859367E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451501672168E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                       9                  1.3927368796231549E+003                 -2.0282577949160864E-007                 -6.6928768462843937E+000                  1.1876451490534425E+001                  6.9758381986096318E-001                  2.9760050731228199E-001                  4.8156728267547688E-003 
                                      10                  1.3927368752525015E+003                 -2.0282577949160867E-007                 -6.6928768462843928E+000                  1.1876451464401857E+001                  6.9758381986096318E-001                  2.9760050731228205E-001                  4.8156728267547688E-003 
