                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1800                                     1972                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318310286660833E+007                  7.7739176177872519E-003                  3.4100798994172960E+003                  2.3611107955549486E+005                  1.3940806857657913E+003                  1.8488789823102341E+000                  0.0000000000000000E+000                  3.6424345531939871E-067                  1.0689881454903664E-015                  3.4769886318571940E-005                  1.2416057304493671E-031                  5.4195813532539383E-001                  4.3312256243673453E-001                  1.1876392739017238E+001                 -2.0942740347067062E-005                  2.1927276323829421E+000                  1.5112504108214540E-005                  3.7872166976663073E+000                  8.0168293724413187E-001                  4.6270911946456848E-003                  3.4882460031124620E+000                  1.5138427514375967E+000                  8.4012910611158613E+000                  5.6757375541347894E+000                  1.3696471821454363E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1644446602209834E+001                  1.3690879244032069E+003                  1.1621458369349916E+001                  1.3666351350693524E+003                  1.5122484971853730E+008                  1.0058758083404415E+001                  5.0300023028889019E+005                  2.7262136690466541E+008                  1.1037002167807193E+000                  5.3573490085549029E+006                  1.2708105449135816E+009                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3940806857657913E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392739017238E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       2                  1.3940806857648008E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392739011298E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       3                  1.3940806857619182E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392738994042E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       4                  1.3940806857541722E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392738947649E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       5                  1.3940806857270607E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392738785276E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       6                  1.3940806856418533E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392738274962E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       7                  1.3940806854133623E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392736906395E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       8                  1.3940806846755777E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392732487542E+001                  6.9758375092967118E-001                  2.9760057629625258E-001                  4.8156727740762406E-003 
                                       9                  1.3940806828160109E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392721349855E+001                  6.9758375091395308E-001                  2.9760057631198272E-001                  4.8156727740642502E-003 
                                      10                  1.3940806784528886E+003                 -2.0282577949151793E-007                 -6.6928768462845873E+000                  1.1876392695217415E+001                  6.9758375073367285E-001                  2.9760057649240063E-001                  4.8156727739265826E-003 
