                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1864                                     1930                  2.0000000000000000E+001                  4.8469999999999997E-003                  1.0318310585137531E+007                  5.7872343089309377E-003                  3.4096652943690988E+003                  2.3636901320801841E+005                  1.3951811800309215E+003                  2.0131203363214780E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8030067002413566E-013                  6.8055101855689185E-007                  6.2499856545865476E-032                  5.5586296339123475E-001                  3.9883681678366728E-001                  1.1876387041235747E+001                 -1.5852161839061253E-005                  2.1927236576987199E+000                  1.5112474946008309E-005                  3.7868842779766871E+000                  7.8115085530290362E-001                  4.6249748215643986E-003                  3.4781163219435824E+000                  1.5393599368471689E+000                  8.3992769999050516E+000                  5.6757375534776289E+000                  1.6578647410560965E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1644110692063505E+001                  1.3701802518564257E+003                  1.1621003732708417E+001                  1.3677163186512391E+003                  1.5140398785040501E+008                  1.0039846489266571E+001                  5.0245109881572501E+005                  1.0943634027956462E+009                  1.8879375318693139E+000                  1.9871488218972769E+007                  4.7071791200001602E+009                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.3951811800309215E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876387041235747E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       2                  1.3951811800299402E+003                 -2.0282577949150605E-007                 -6.6928768462846131E+000                  1.1876387041229806E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       3                  1.3951811800270555E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876387041212551E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       4                  1.3951811800193229E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876387041166158E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       5                  1.3951811799922498E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876387041003785E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       6                  1.3951811799071634E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876387040493471E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       7                  1.3951811796789677E+003                 -2.0282577949150615E-007                 -6.6928768462846131E+000                  1.1876387039124902E+001                  6.9758374431249759E-001                  2.9760058291848290E-001                  4.8156727690195078E-003 
                                       8                  1.3951811789421770E+003                 -2.0282577949150618E-007                 -6.6928768462846131E+000                  1.1876387034706053E+001                  6.9758374429900738E-001                  2.9760058293198355E-001                  4.8156727690090717E-003 
                                       9                  1.3951811770850979E+003                 -2.0282577949150605E-007                 -6.6928768462846131E+000                  1.1876387023568370E+001                  6.9758374427927539E-001                  2.9760058295173053E-001                  4.8156727689940837E-003 
                                      10                  1.3951811727278200E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876386997435946E+001                  6.9758374427927539E-001                  2.9760058295173053E-001                  4.8156727689940837E-003 
                                      11                  1.3951811625425676E+003                 -2.0282577949150605E-007                 -6.6928768462846131E+000                  1.1876386936350785E+001                  6.9758374409474699E-001                  2.9760058313640014E-001                  4.8156727688528633E-003 
                                      12                  1.3951811459310504E+003                 -2.0282577949150613E-007                 -6.6928768462846131E+000                  1.1876386836724585E+001                  6.9758374396445033E-001                  2.9760058326679639E-001                  4.8156727687532763E-003 
                                      13                  1.3951811157681516E+003                 -2.0282577949150618E-007                 -6.6928768462846131E+000                  1.1876386655824726E+001                  6.9758374374710930E-001                  2.9760058348430340E-001                  4.8156727685872980E-003 
                                      14                  1.3951810607274240E+003                 -2.0282577949150621E-007                 -6.6928768462846122E+000                  1.1876386325721326E+001                  6.9758374336524087E-001                  2.9760058386646360E-001                  4.8156727682955314E-003 
                                      15                  1.3951809602782589E+003                 -2.0282577949150623E-007                 -6.6928768462846122E+000                  1.1876385723281301E+001                  6.9758374266830470E-001                  2.9760058456393246E-001                  4.8156727677628464E-003 
                                      16                  1.3951807887839152E+003                 -2.0282577949150631E-007                 -6.6928768462846122E+000                  1.1876384694744566E+001                  6.9758374147835855E-001                  2.9760058575478793E-001                  4.8156727668535737E-003 
                                      17                  1.3951805230524844E+003                 -2.0282577949150647E-007                 -6.6928768462846122E+000                  1.1876383101006002E+001                  6.9758373963430820E-001                  2.9760058760024766E-001                  4.8156727654441456E-003 
                                      18                  1.3951801404560329E+003                 -2.0282577949150621E-007                 -6.6928768462846122E+000                  1.1876380806326143E+001                  6.9758373697876974E-001                  2.9760059025781549E-001                  4.8156727634147689E-003 
