                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     230                                     1023                  2.0000000000000000E+001                  4.8469999999999997E-003                  9.6842523957989849E+006                  2.8802539248026653E+002                  2.5718575632070100E+004                  1.2518890135290545E+005                  1.7846289164390374E+001                 -6.0469448523682177E+000                  9.5315766397097244E-004                  3.6654254903872622E-016                  9.9445042286045060E-001                  6.7473088925588162E-005                  2.8303473241721956E-003                  5.5414780862558108E-005                  4.0755231361822649E-004                  1.9703473531411202E+001                 -4.2018323494449481E-008                  7.9082523618506793E+000                  5.6011647915641762E-005                  1.1702203320614624E+001                  3.9251863920186586E-003                  3.2936110437357405E-002                  2.3724102468542375E-002                  8.0301962240341106E-003                  6.7620400648341574E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9703473453693761E+001                  1.7670006437738635E+001                  1.9703472628750077E+001                  1.7316324175935030E+001                  1.7005290780005264E+005                  4.0789781122175764E+003                  1.5738993887219632E+006                  1.1592882186166433E+005                  1.1592882186166430E+005                  1.1603379127423454E-015                  7.8877248476702553E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                                    zone                                   radius                                  eps_nuc                          log_abs_eps_nuc                                     mass                                        x                                        y                                        z 
                                       1                  1.7846289164390374E+001                  1.0748411275856524E-036                 -3.5968655724131523E+001                  1.9703473531411202E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       2                  1.7846227817767723E+001                  1.0760223466061868E-036                 -3.5968178709239346E+001                  1.9703473531401350E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       3                  1.7846166538066605E+001                  1.0777417593943650E-036                 -3.5967485289154411E+001                  1.9703473531391499E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       4                  1.7846049908833468E+001                  1.0811822053215722E-036                 -3.5966101110766729E+001                  1.9703473531372723E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       5                  1.7845811670256392E+001                  1.0857896824010160E-036                 -3.5964254289497056E+001                  1.9703473531334240E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       6                  1.7845574436285951E+001                  1.0926922154134200E-036                 -3.5961502150924453E+001                  1.9703473531295753E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       7                  1.7845102946766033E+001                  1.1086984798889489E-036                 -3.5955186547922153E+001                  1.9703473531218787E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       8                  1.7843941133472274E+001                  1.1381158357180946E-036                 -3.5943813533852179E+001                  1.9703473531026368E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                       9                  1.7842129977189970E+001                  1.1870059960091436E-036                 -3.5925547087256774E+001                  1.9703473530718504E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      10                  1.7839090170057830E+001                  1.2392254974406041E-036                 -3.5906849659416181E+001                  1.9703473530179735E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      11                  1.7837009775741862E+001                  1.2818084934905359E-036                 -3.5892176855030108E+001                  1.9703473529794902E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      12                  1.7834998031149464E+001                  1.3194744105329945E-036                 -3.5879599027931292E+001                  1.9703473529410068E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      13                  1.7833434262953947E+001                  1.3766508298636875E-036                 -3.5861176199098878E+001                  1.9703473529102205E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      14                  1.7829686092110460E+001                  1.4327258286429929E-036                 -3.5843836909741974E+001                  1.9703473528332534E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      15                  1.7828245082371932E+001                  1.4717992119793361E-036                 -3.5832151433936886E+001                  1.9703473528024670E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      16                  1.7826140531775739E+001                  1.5328739428858758E-036                 -3.5814493558231106E+001                  1.9703473527562867E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      17                  1.7822771663278900E+001                  1.5998663210079398E-036                 -3.5795916303890323E+001                  1.9703473526793204E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      18                  1.7820188556714292E+001                  1.6434845154986995E-036                 -3.5784234383377395E+001                  1.9703473526177469E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      19                  1.7818931009425697E+001                  1.6860783532905244E-036                 -3.5773122247261071E+001                  1.9703473525869601E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      20                  1.7816478939185732E+001                  1.7417213043463188E-036                 -3.5759021335934314E+001                  1.9703473525253870E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      21                  1.7814104560196558E+001                  1.8091638971026332E-036                 -3.5742522087433713E+001                  1.9703473524638135E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      22                  1.7810674639897087E+001                  1.8748114403844690E-036                 -3.5727042405012774E+001                  1.9703473523714536E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      23                  1.7808467392606001E+001                  1.9132417428346594E-036                 -3.5718230152321823E+001                  1.9703473523098801E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      24                  1.7807385736491089E+001                  1.9507754637631278E-036                 -3.5709792715464765E+001                  1.9703473522790933E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      25                  1.7805263664296273E+001                  2.0118221436332799E-036                 -3.5696410415988296E+001                  1.9703473522175198E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      26                  1.7802176238088300E+001                  2.0828555276409875E-036                 -3.5681340852819552E+001                  1.9703473521251599E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      27                  1.7799193084724898E+001                  2.1402781493867093E-036                 -3.5669529782307826E+001                  1.9703473520328000E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
                                      28                  1.7797257136925861E+001                  2.1849209151222376E-036                 -3.5660564278028843E+001                  1.9703473519712265E+001                  7.3909997833101593E-001                  2.5605351869299087E-001                  4.8465029759932055E-003 
